Symbol,Name,Last,"Prev High","Prev Low","1M High","1M Low",Volume,"Prev Vol","1M Avg Vol","Earnings ttm","Book Value","Div Yield"
A,"Agilent Technologies",100.01,102.41,100.54,103.21,94.76,712248,723500,1248995,3.19,16.16,0.72%
AAL,"American Airlines Gp",13,12.77,12.35,14.16,11.22,111883203,48841902,58522461,-7.9,-6.23,0.00%
AAP,"Advance Auto Parts Inc",155.5,156.26,153.2,158.91,142.46,487318,649600,703938,7.57,53.93,0.64%
AAPL,"Apple Inc",113.02,117.72,115.83,128.84,103.1,144711906,116120398,180715969,3.3,4.23,0.73%
ABBV,"Abbvie Inc",86.12,88.17,86.73,94.31,85.32,5554326,8777300,7395576,9.3,8.35,5.48%
ABC,"Amerisourcebergen Corp",95.38,97.63,94.73,100.09,92,644464,730500,889433,7.62,19.45,1.76%
ABMD,"Abiomed Inc",261.99,280.73,258.29,312,255.4,432300,971000,361338,3.72,24.46,0.00%
ABT,"Abbott Laboratories",106.5,110.33,108.38,110.33,100.34,5590462,7242000,5260429,3.01,17.39,1.35%
ACN,"Accenture Plc",222.4,229.24,224.03,246.14,210.42,1936069,1928700,2314190,7.6,27.48,1.44%
ADBE,"Adobe Systems Inc",478.99,501.5,495.76,527.63,452.52,2780900,2264600,4030638,8.04,24.42,0.00%
ADI,"Analog Devices",114.01,119.64,117.37,121.36,110.66,3172600,3092900,3141400,4.66,31.9,2.18%
ADM,"Archer Daniels Midland",46.74,46.75,46.19,48.56,44.58,2238223,1996900,3572843,3.68,34.75,3.08%
ADP,"Automatic Data Procs",138.67,141.67,136.69,144.25,127.31,2226400,2023000,2245600,5.92,13.38,2.62%
ADSK,"Autodesk Inc",225.56,238.61,232.75,256.81,215.83,1253300,1438700,1509843,1.99,0.31,0.00%
AEE,"Ameren Corp",79.81,80.21,79.06,81.18,75.27,900613,1060700,1116019,3.42,33.9,2.48%
AEP,"American Electric Power Company",85.3,83.09,81.3,85.61,77.67,3919200,2365600,2381495,4.16,40.92,3.28%
AES,"The Aes Corp",18.54,18.31,17.68,19.12,17.13,6500237,4895900,5261690,1.37,6.98,3.09%
AFL,"Aflac Inc",36.88,36.7,35.94,38.4,34.92,2973975,2482900,4318991,4.68,41.27,3.04%
AIG,"American International Group",28.22,28.01,27.31,30.96,25.57,4558290,5155500,7541395,2.36,72.92,4.54%
