Symbol,Name,Last,"Prev High","Prev Low","1M High","1M Low",Volume,"Prev Vol","1M Avg Vol","Earnings ttm","Book Value","Div Yield"
AIV,"Apartment Investment and Management",36.25,35.21,33.75,38.09,32.85,1307654,976100,1647933,1.21,11.92,4.52%
AIZ,"Assurant Inc",123.43,122.71,120.1,126.57,116.11,275413,322100,375548,9.33,100.33,2.04%
AJG,"Arthur J. Gallagher & Company",106.21,106.46,104.54,108.03,100.32,535574,745000,912581,4.15,28.91,1.69%
AKAM,"Akamai Technologies",108.61,111.44,108.91,118.07,104.08,910000,1440400,1455481,3.9,24.06,0.00%
ALB,"Albemarle Corp",89.29,90.97,86.47,101,79.06,1204266,1371800,1343914,5.12,39.56,1.72%
ALGN,"Align Technology",314.89,333.64,313.86,340.29,297.44,544600,857200,701486,21.5,36.11,0.00%
ALK,"Alaska Air Group",37.52,37.21,36.23,43.94,34.83,3904407,1858600,2434781,-0.27,31.5,0.00%
ALL,"Allstate Corp",93.02,95.15,91.66,97.56,88.78,1369144,2662400,1951714,11.97,86.4,2.32%
ALLE,"Allegion Plc",98.82,101.68,98.17,105.67,94.01,1666042,872400,839848,4.71,7.37,1.30%
ALXN,"Alexion Pharm Inc",111.55,116.53,114.11,120.81,102.82,2021800,1498200,2320110,10.95,47.87,0.00%
AMAT,"Applied Materials",58.21,61.02,59.51,64.37,54.15,7103900,7542700,9591214,3.73,10.48,1.51%
AMCR,"Amcor Plc",11.01,11.22,10.94,11.38,10.44,7949252,7317500,8010757,0.45,2.92,4.18%
AMD,"Adv Micro Devices",81.8,85.25,82.86,88.47,73.85,52855000,52177102,55581824,0.68,2.82,0.00%
AME,"Amtek Inc",100.78,101.38,99.01,103.58,94.9,715461,1046600,867300,4,23.89,0.71%
AMGN,"Amgen Inc",245.41,258.51,254.05,260.06,237.78,2514400,2428300,2635909,15.72,18.2,2.61%
AMT,"American Tower Corp",243.3,245,239.95,268.66,234.97,2138392,2500800,2271167,4.31,9.15,1.87%
AMZN,"Amazon.com Inc",3125,3224,3172,3488.41,2871,5613000,4971900,5673619,26.01,147.19,0.00%
ANET,"Arista Networks Inc",203.9,209.25,205.08,224.96,192.96,493362,667700,747510,7.95,39.94,0.00%
ANSS,"Ansys Inc",321.58,336.35,329.29,346.88,298.35,399800,494000,456810,4.89,40.16,0.00%
ANTM,"Anthem Inc",275.01,270.77,266.11,284.37,244.1,1582541,918100,1280271,24.43,136.99,1.38%
AON,"AON Plc",205.52,207.71,204.27,212.1,192.19,877428,1391900,1451605,9.62,15.95,0.86%
AOS,"Smith [A.O.] Corp",53.53,54.06,52.95,54.46,47.22,704442,959700,1187171,1.86,8.69,1.79%
APA,"Apache Corp",9.74,9.51,9.01,14.89,8.75,15061600,15803500,11545219,-1.08,-1.68,1.03%
APD,"Air Products and Chemicals",296.04,301.74,293.57,308.94,284.23,1030007,1316700,913100,8.46,54.43,1.81%
APH,"Amphenol Corp",109.36,110,108.94,112.67,101.69,1209328,1029500,1501757,3.45,16.09,0.91%
APTV,"Aptiv Plc",93.56,94.97,91.68,94.97,82.12,1105525,2137400,1821557,2,26.39,0.00%
ARE,"Alexandria Real Estate Equities",164.71,163.22,160.04,173.35,154.18,779931,671600,995633,3.26,87.67,2.57%
ASML,"Asml Hld NY Reg",370,382.65,374.42,389.31,343.25,711500,891600,858348,7.64,33.31,0.67%
ATO,"Atmos Energy Corp",96.02,96.34,94.82,99.93,90.49,1090709,1124600,911581,4.7,52.83,2.40%
ATVI,"Activision Blizzard",78.3,83.54,81.38,83.54,75.68,8789500,6035800,6832396,2.95,17.73,0.52%
AVB,"Avalonbay Communities",157.94,155.63,149.61,164.12,145.01,1487269,1140100,1220686,5.6,77.25,4.03%
AVGO,"Broadcom Ltd",356.83,370.71,364.82,372.53,343.48,1710000,1601800,2313295,17.37,58.24,3.64%
AVY,"Avery Dennison Corp",124.33,129.5,124.31,129.74,113.56,718287,679800,683624,6.32,14.54,1.87%
AWK,"American Water Works",148.96,148.86,145.44,149.97,137.01,751224,1478100,802038,3.7,35.01,1.48%
AXP,"American Express Company",101.61,101.48,99.37,109.03,93.71,3783618,4179200,4635109,6.38,26.16,1.69%
AZO,Autozone,1176.99,1192.95,1168.19,1251.81,1108.62,137320,222700,227900,72.01,-37.6,0.00%
BA,"Boeing Company",168.08,172.76,165.57,180.85,145.02,31773793,30677000,23395506,-7.37,-20.16,0.00%
BAC,"Bank of America Corp",24.21,24.41,23.86,26.76,22.95,51682108,44782102,61143605,2.26,30.66,2.97%
BAX,"Baxter International Inc",78.83,82.39,79.44,86.14,77.72,1536689,2110200,2858476,2.43,16.12,1.24%
BBY,"Best Buy Company",112.42,114.72,111.86,114.72,102.83,1930575,3631200,2158962,6.41,14.6,1.96%
BDX,"Becton Dickinson and Company",232.66,236.82,228.65,246.68,219.5,1008100,1214200,1698457,10.71,82.87,1.36%
BF.B,"Brown Forman Inc Cl B",75.63,76.73,74.92,82.31,73.66,1115658,881100,927938,1.74,4.49,0.92%
BIDU,"Baidu Inc",124.62,127.29,125.52,129,116.41,2035000,1842900,2785291,6.61,69.83,0.00%
BIIB,"Biogen Inc",277.64,286.17,280.59,287.95,265.05,975900,971600,1221600,36.91,71.31,0.00%
BIO,"Bio-Rad Laboratories",510.68,521.23,512.66,525.61,472.84,76380,148500,162867,7.45,247.76,0.00%
BK,"Bank of New York Mellon Corp",34.74,34.71,33.91,38.45,32.65,5850625,8063900,5022567,4.14,49.45,3.57%
BKNG,"Booking Holdings Inc",1710.71,1750,1730,1966.22,1601.01,269800,339500,381571,61.62,97.66,0.00%
BKR,"Baker Hughes A Ge CO Cl A",12.65,13.17,12.57,15.61,12.13,5973405,5442500,7344733,0.54,16.99,5.69%
BLL,"Ball Corp",82.67,84.29,82.48,85.68,78.58,1368665,1735000,1482705,2.67,8.68,0.73%
BMRN,"Biomarin Pharmaceuticals",74.98,77.24,75.33,80.94,71.35,2548200,1157200,2261186,0.76,17.85,0.00%
BMY,"Bristol-Myers Squibb Company",58.72,60.57,59.63,62.02,56.9,12574250,8747500,10630757,5.74,21.73,3.07%
BR,"Broadridge Financial Solutions Llc",133.41,135.4,132.6,142.51,126.77,496704,737100,507857,5.03,11.73,1.72%
BRK.B,"Berkshire Hathaway Cl B",211.18,214.38,210.62,223.24,206.58,4421401,4758900,5471833,9.71,166.34,0.00%
BSX,"Boston Scientific Corp",38.48,38.94,38.19,42.37,36.8,6271166,6098400,7499085,1.21,11.16,0.00%
BWA,"Borgwarner Inc",39.2,39.95,39.08,43.22,36.34,4556165,6720800,2994514,2.76,22.98,1.73%
BXP,"Boston Properties",85.27,82.9,80.37,90.68,78.41,1098757,885800,1390052,6.52,55.01,4.60%
C,"Citigroup Inc",43.66,43.65,42.6,53.64,41.29,23899213,21900500,30868475,5.44,92.37,4.67%
CAG,"Conagra Brands Inc",36.88,36.51,34.53,38.71,33.65,5228850,6045600,3372500,2.28,16.32,2.30%
CAH,"Cardinal Health",46.3,47.2,45.81,51.9,44.65,1747173,2115000,2716148,5.45,6.14,4.20%
CAR,"Avis Budget Group",28.34,28.84,26.52,36.96,25.54,1900500,3319400,1953195,-3.31,-2.19,0.00%
CARR,"Carrier Global Corp [Carr/I]",31.23,31.06,30.55,31.56,28.58,2483070,3730300,4923786,0.68,5.04,1.02%
CAT,"Caterpillar Inc",149.94,150.31,145.65,156.25,142.73,3220517,2157400,3478176,7.92,25.44,2.75%
CB,"Chubb Ltd",116.56,117.17,114.56,130.23,111.93,1255797,1459300,1807376,7.1,121.32,2.68%
CBOE,"CBOE Global Markets Inc",87.49,88.95,87.16,92.16,83.79,547941,613100,875257,5.46,30.22,1.92%
CBRE,"CBRE Group Inc",48.07,48.2,46.81,51.03,44.59,1688866,1993300,1460719,3.21,18.75,0.00%
CCI,"Crown Castle International Corp",168.62,168.3,164.93,169.3,155.01,2275694,1693300,1998919,1.8,23.41,2.85%
CCL,"Carnival Corp",15.16,15.43,14.7,18.92,13.4,30936083,28158301,42170840,0.17,39.49,0.00%
CDNS,"Cadence Design Sys",105.32,109.31,107.59,115.3,97.45,1332100,1837400,1747709,3.63,8.09,0.00%
CDW,"CDW Corp",123.49,124.53,120.44,124.62,105.87,1128300,1000900,957362,6.23,7.42,1.23%
CE,"Celanese Corp",108.25,109.54,105.59,115.03,102.55,775245,733700,806486,8.11,24.25,2.29%
CERN,"Cerner Corp",71.18,73.3,71.75,76.21,66.75,1027100,1402600,1635557,2.4,13.16,1.01%
CF,"Cf Industries Holdings",30.57,30.89,29.77,35.63,29.3,1552796,1981100,2214719,1.74,26.08,3.93%
CFG,"Citizens Financial Group Inc/Ri",26.21,25.71,25.14,28.18,23.46,3348779,3432200,6854138,2.61,52.52,5.95%
CHD,"Church & Dwight Company",91.17,94.03,92.59,98.1,88.64,1498750,933900,1255124,2.81,12.13,1.05%
CHKP,"Check Point Software",118.31,122.06,118.11,129.61,114.89,859000,1454000,1057419,5.82,23.42,0.00%
CHRW,"C.H. Robinson Ww",100.87,103.71,100.84,105.71,95.69,1241100,936300,1445081,3.43,12.64,2.02%
CHTR,"Charter Communicatio",620.23,640,627.31,640,591.6,1046500,1386700,1104567,10.7,177.65,0.00%
CI,"Cigna Corp",167.23,169.87,166.07,185.25,158.84,1782063,1341800,2133872,19.35,128.38,0.02%
CINF,"Cincinnati Financial",77.78,78.77,76.05,83.99,73.79,499400,667700,818219,3.59,57.56,3.09%
CL,"Colgate-Palmolive Company",77.4,77.73,76.74,80.1,74.35,3540285,4048500,3209981,2.93,0.85,2.27%
CLX,"Clorox Company",209.22,212.35,207.52,223.71,204.61,1311353,1157800,1470609,7.35,7.19,2.12%
CMA,"Comerica Inc",39.33,38.87,37.75,42.47,35.76,1477947,1238700,1512524,4.12,56.11,6.92%
CMCSA,"Comcast Corp A",45.15,46.77,46.17,47.5,43.12,18104000,15524300,20187148,2.98,18.56,2.04%
CME,"CME Group Inc",168.49,170.97,167.63,176.24,161.65,1133200,1308100,1589524,7.38,75.03,2.02%
CMG,"Chipotle Mexican Grill",1254.8,1265,1231,1374.22,1180,281728,348900,350176,10.16,60.94,0.00%
CMI,"Cummins Inc",210.34,213.09,205.15,217.26,199.7,1003720,1095200,1012457,11.52,55.05,2.49%
CMS,"Cms Energy Corp",61.66,61.95,61.19,62.81,58.63,1356191,1591600,1790500,2.76,18.34,2.64%
CNC,"Centene Corp",59.98,58.94,57.69,62.78,53.6,3965673,3852600,3923300,4.95,43.44,0.00%
CNP,"Centerpoint Energy Inc",19.93,19.48,19.19,20.75,18.6,5795606,3313600,4761024,1.69,15.4,3.01%
COF,"Capital One Financial Corp",74.94,75.31,71.31,77.5,66.46,2693846,2798000,3012181,1.18,123.09,0.53%
COG,"Cabot Oil & Gas Corp",17.01,17.48,16.82,19.82,16.41,4434892,5552400,4734419,0.7,5.43,2.35%
COO,"Cooper Companies",335.43,341.61,336.67,352.4,304.92,180324,211800,316300,9.78,70.5,0.02%
COP,Conocophillips,33.07,32.74,31.69,36.87,31.45,7069288,7929500,8322276,1.11,29.37,5.08%
COST,"Costco Wholesale",355.01,359.68,354.82,363.67,331.2,2124900,2052900,2788781,8.85,42.37,0.79%
CPB,"Campbell Soup Company",48.81,48.89,46.99,52.37,44.53,1298094,2396100,3378343,2.96,8.5,2.87%
CPRT,"Copart Inc",107.34,107.48,105.86,110,100.07,941400,1128600,1502414,2.57,10.6,0.00%
CRM,"Salesforce.com Inc",247.85,254.67,250.81,271.75,233.63,4494464,4318000,6750157,1.5,42.24,0.00%
CSCO,"Cisco Systems Inc",38.27,39.31,38.56,41.83,37.6,24492900,20763500,25783520,2.92,8.96,3.76%
CSX,"CSX Corp",77.15,78.35,76.27,81.4,74.14,3549400,4249200,4176300,3.72,15.9,1.35%
CTAS,"Cintas Corp",335.05,344.15,333.01,344.97,307.65,458900,510800,533343,8.56,34.15,0.76%
CTLT,"Catalent Inc",85.88,87.03,85.53,89.43,79.65,981323,892200,2699791,1.87,22.63,0.00%
CTSH,"Cognizant Tech Sol",68.86,70.6,68.97,71.81,65.04,2460500,3426400,3302014,3.93,20.23,1.28%
CTVA,"Corteva Inc",29.37,29.31,28.61,30.21,27.18,4851511,4918300,4462905,1.53,33.13,1.77%
CTXS,"Citrix Systems Inc",134.89,139.93,137.66,147.13,131.15,780800,852600,1358557,4.81,-0.76,1.04%
CVS,"CVS Corp",57.83,58.67,57.35,61.99,56.1,7143310,7559100,8900553,8.12,52.23,3.46%
CVX,"Chevron Corp",71.19,71.88,70.03,84.49,68.82,9854802,14930600,12448104,2.78,71.97,7.25%
CXO,"Concho Resources Inc",43.07,43.98,42.14,50.85,40.82,2654182,1430600,2097091,3.49,40.26,1.86%
D,"Dominion Resources",79.8,79.38,77.97,82.41,75.3,3511826,4894800,4156052,4.27,36.76,4.71%
DAL,"Delta Air Lines Inc",31.75,31.36,30.58,35.07,27.92,27126005,12501899,22295938,-0.92,13.62,0.00%
DD,"Du Pont De.Nemours Inc",54.77,56.31,54.42,60.98,53.49,4846878,4579500,4133538,3.45,51.21,2.19%
DE,"Deere & Company",224.79,223.78,218.57,226.52,207.97,1403675,1383800,1668838,8.45,41.14,1.35%
DFS,"Discover Financial Services",60.92,58.93,57.24,61.11,51.74,3307844,2721200,3393024,3.16,31.47,2.89%
DG,"Dollar General Corp",211.52,213.92,210.97,213.92,190.76,1302616,1829200,1852600,9.2,29.54,0.68%
DGX,"Quest Diagnostics Inc",113.87,115.64,112.38,118.19,106.54,937590,858300,1263962,5.79,43.79,1.97%
DHI,"D.R. Horton",77.89,77.63,75.78,78.37,66.51,2586891,3514100,3469110,5.36,31.14,0.90%
DHR,"Danaher Corp",212.5,218.68,213.77,218.68,192.51,1433111,2083000,2237643,4.93,52,0.34%
DIS,"Walt Disney Company",122.55,125.47,122.42,137.24,120.78,6490237,8908300,9007857,3.28,50.06,0.00%
DISCA,"Discovery Comm A",21.5,22.02,21.24,24.76,20.79,2568400,3595500,4135724,3.49,22.41,0.00%
DISCK,"Discovery Comm Inc",19.39,19.78,19.15,22.58,18.83,1888300,1931100,2694900,3.49,22.41,0.00%
DISH,"Dish Network Corp",28.55,29.6,28.49,36.15,27.99,2335300,1919400,2482072,2.26,23.18,0.00%
DLR,"Digital Realty Trust",149.35,148.25,145.2,155.46,138.71,1726125,1482900,1718757,3.48,65.9,3.00%
DLTR,"Dollar Tree Inc",90.76,93.38,91.59,95.46,84.41,1792800,1700100,2003990,5.01,28.71,0.00%
DOCU,"Docusign Inc",218.27,224.23,218.25,251.9,187.21,5194800,4946500,8212785,-0.83,2.73,0.00%
DOV,"Dover Corp",110.05,109.61,106.3,116.37,105.4,812234,623100,784090,5.66,21.46,1.80%
DOW,"Dow Inc",47.31,47.5,45.93,51.56,45.13,4559039,3407800,4816491,2.02,17.67,5.92%
DPZ,"Domino's Pizza Inc",433.78,430.91,424.53,435.14,376.11,431668,528300,566710,11.24,-83.43,0.72%
DRE,"Duke Realty Corp",38.44,37.51,36.6,39.52,35.37,2390662,2141400,2005062,1.01,13.65,2.45%
DRI,"Darden Restaurants",104.21,104.98,100.84,105.65,84.91,2011910,2053500,2370014,2.34,18.28,0.00%
DTE,"Dte Energy Company",114.16,115.62,112.54,121.9,109.65,1997710,1242700,1102857,6.45,61.73,3.55%
DUK,"Duke Energy Corp",91.58,90.36,87.6,92.15,79.38,5925175,6249700,4179705,4.92,63.43,4.21%
DVA,"Davita Healthcare Partners Inc",84.29,86.87,80.85,92.67,80.85,1125519,2617600,1563067,7.17,19.13,0.00%
DVN,"Devon Energy Corp",9.6,9.54,9.02,10.77,8.43,14637608,12066500,11156724,0.54,8.76,4.58%
DXC,"Dxc Technology Company",18.36,18.82,18.04,22.7,15.64,2685396,2817700,3131505,4.04,19.45,0.00%
DXCM,Dexcom,384.52,420,409.83,446.46,375.62,1321100,496700,819867,3.03,14.14,0.00%
EA,"Electronic Arts Inc",129.07,134.05,131.46,138.24,123.33,1751200,1868900,2295024,5.39,26.95,0.00%
EBAY,"Ebay Inc",51.68,52.86,52,55.42,47.44,5456700,6659600,8505943,2.81,4.15,1.24%
ECL,"Ecolab Inc",198.06,203.75,196.12,209.54,192.42,1161984,1192800,1241986,5.15,20.64,0.95%
ED,"Consolidated Edison Company of New York",79.77,79.08,77.74,80.21,71.68,1718928,1562300,2844610,4.34,55.2,3.84%
EFX,"Equifax Inc",158.96,158.94,157.02,174.17,150.53,481295,588800,729905,6.01,22.51,0.98%
EIX,"Edison International",51.5,51.14,50.26,53.58,48.47,2784321,2262900,2670062,4.11,43.48,4.95%
EL,"Estee Lauder Companies",218.76,220.57,217.33,223.28,204.23,722900,896900,979876,4.1,10.99,0.88%
EMN,"Eastman Chemical Company",78.17,78.76,76.01,86.32,74.84,881436,893300,1148419,6.24,45.05,3.38%
EMR,"Emerson Electric Company",65.54,66.34,64.16,71.08,63.16,2090072,2314800,2287938,3.43,13.19,3.05%
EOG,"Eog Resources",34.81,35.82,34.62,44.6,33.63,5428913,5085200,5083457,2.8,35.02,4.31%
EQIX,"Equinix Inc",778,771.61,756.02,793.43,729.39,446600,378100,332819,5.77,117.3,1.37%
EQR,"Equity Residential",55.09,53.5,51.28,59.1,50.01,6450414,3141900,3329705,3.01,29.12,4.37%
ES,"Eversource Energy",87.05,85.48,83.6,87.96,77,1717358,1644900,1548586,3.52,41.03,2.61%
ESS,"Essex Property Trust",212.1,206.99,201,227.24,198.08,741341,431900,450467,9.51,97.11,3.92%
ETFC,"E*Trade Finl Corp",49.26,50.7,48.98,56.26,47.44,20707933,2851600,2932829,3.62,30.85,1.14%
ETN,"Eaton Corp",102.65,103.21,99.66,105.89,96.24,1923951,1355800,1710352,4.68,35.58,2.84%
ETR,"Entergy Corp",103.65,101.35,98.67,104.22,93.29,2321001,1634800,1262876,5.71,52.26,3.59%
ETSY,"Etsy Inc",131.63,133.09,123.25,133.33,103.06,3783100,5745000,5472033,1.22,4.42,0.00%
EVRG,"Evergy Inc",51.98,51.43,50.3,53.79,48.61,1636761,1711900,1634719,2.98,37.61,3.89%
EW,"Edwards Lifesciences Corp",78.81,80.74,78.44,87.6,74.07,1541585,1994100,2679505,1.8,6.17,0.00%
EXC,"Exelon Corp",35.94,36.15,35.54,38.35,33.97,5178700,4727100,5391281,3.17,35.78,4.26%
EXPD,"Expeditors Intl",89.65,91.47,88.86,95.12,86.23,840900,1080100,1125305,3.53,12.99,1.16%
EXPE,"Expedia Group Inc",92.09,94.72,91.95,104.05,88.42,1891100,2434800,2401152,-2.62,29.92,0.00%
EXR,"Extra Space Storage Inc",112.39,109.78,107.09,113.19,102.74,1405295,1061500,901324,3.32,21.27,3.20%
F,"Ford Motor Company",6.89,6.77,6.63,7.4,6.41,60798406,58340598,61772820,-0.12,7.76,0.00%
FANG,"Diamondback Energy",30.47,30.01,28.59,36.93,28.05,3746700,4321600,3185990,5,74.99,4.92%
FAST,"Fastenal Company",44.54,45.38,44.65,49.12,43.05,3767300,3170200,3850771,1.45,4.85,2.25%
FB,"Facebook Inc",259.94,268.33,264.8,297.6,244.13,16367500,20009799,23518742,8.19,38.77,0.00%
FBHS,"Fortune Brands Home & Security",87.52,88.21,86.13,88.21,80.01,835559,1195800,1018267,3.7,17.83,1.10%
FCX,"Freeport-Mcmoran Inc",15.94,15.8,15.3,17.5,14.67,23936226,30596801,22135695,-0.12,11.81,0.63%
FDX,"Fedex Corp",255.2,257.79,252.88,259.95,217.4,3015325,2862200,4364467,11.32,74.12,1.02%
FE,"Firstenergy Corp",29.52,29.02,28.45,30.02,27.3,4010530,2805900,4377429,2.54,13.18,5.28%
FFIV,"F5 Networks Inc",122.5,123.86,122.19,131.1,116.79,471100,450300,610329,6.98,35.43,0.00%
FIS,"Fidelity National Information Services",145.15,150.31,145.52,154.68,138.46,2082244,3731200,2755938,5.43,79.4,0.96%
FISV,"Fiserv Inc",101.65,105.8,103.38,105.8,92.15,3257200,2943500,5689905,4.07,49.33,0.00%
FITB,"Fifth Third Bncp",21.89,21.29,20.83,22.55,19.32,6405300,4869200,6462510,1.86,31.37,4.93%
FLIR,"Flir Systems Inc",35.49,36.24,35.28,37.17,33.39,914600,982600,1301581,2.2,13.38,1.92%
FLS,"Flowserve Corp",27.23,27.51,26.31,30.49,25.87,522781,1086400,1084024,1.99,12.99,2.94%
FLT,"Fleetcor Technologies",234.46,243.3,236.62,253.69,228.01,599424,508600,730148,11.07,34.72,0.00%
FMC,"FMC Corp",103.61,107.16,102.62,113.73,101.42,793631,991700,636624,6.26,22,1.70%
FOX,"Fox Corp Cl B",28.17,28.36,27.68,29.87,25.61,1110200,928900,1560005,2.48,16.72,1.63%
FOXA,"Fox Corp Cl A",28.08,28.22,27.5,29.92,25.57,4330800,3437600,4427271,2.48,16.72,1.64%
FRC,"First Republic Bank",112.94,110.88,108.43,116.76,100.38,545590,658700,809362,5.3,61.46,0.00%
FRT,"Federal Realty Investment Trust",78.43,76.1,73.6,84.11,70.68,576120,503400,709595,3.57,33.47,5.41%
FTI,"Technipfmc Plc",6.38,6.33,6.09,7.89,5.96,7627054,5619000,6280643,0.13,9.32,0.00%
FTNT,"Fortinet Inc",116.38,120.93,118.28,130.48,112.61,1176500,1261600,1266200,2.13,3.36,0.00%
FTV,"Fortive Corp",77.4,77.03,74.79,78.68,70.97,1973362,2197700,3576481,3.32,21.97,0.36%
GD,"General Dynamics Corp",140.49,140.08,136.8,156.56,133.6,1325290,887300,1155776,11.26,48.41,3.13%
GE,"General Electric Company",6.39,6.29,6.11,7.18,5.93,90076370,79175602,114237172,0.26,4.03,0.63%
GILD,"Gilead Sciences Inc",62.17,63.71,62.71,67.92,61.65,7796600,8356500,9439909,5.54,14.46,4.38%
GIS,"General Mills",62.52,62.68,60.77,65.52,56.92,4497713,6251000,4135862,3.82,14.33,3.13%
GL,"Globe Life Inc",80.79,80.76,78.89,85.99,75.39,372202,415800,524814,6.81,73.69,0.93%
GLW,"Corning Inc",32.81,32.77,32.06,33.79,30.16,3870436,4624800,5207738,1.35,15.93,2.68%
GM,"General Motors Company",30.46,30.51,29.15,33.33,28.24,9474033,15052899,16248942,1.89,30.39,0.00%
GOOG,"Alphabet Cl C",1458.42,1499.04,1479.21,1709.71,1406.55,1284000,1779400,1871200,45.47,304.81,0.00%
GOOGL,"Alphabet Cl A",1455.6,1495.07,1476.8,1700,1402.15,1561100,1644200,1972795,45.47,304.81,0.00%
GPC,"Genuine Parts Company",95.85,96.61,94.22,104.39,92.82,576899,673300,909867,5.09,19.9,3.30%
GPN,"Global Payments Inc",178.43,182.6,176.71,184.34,164.57,1270355,1118400,1670291,5.83,92.34,0.44%
GPS,"Gap Inc",18.35,17.99,17.12,18.47,15.76,8466715,8088100,7946962,-1.45,6.03,0.00%
GRMN,"Garmin Ltd",94.93,95.93,94.35,105.99,91.84,501700,627700,748819,4.38,24.79,2.57%
GS,"Goldman Sachs Group",199.9,203.13,197.87,215.23,185.87,2541588,2288600,3708719,18.85,261.65,2.50%
GWW,"W.W. Grainger",359.39,360.16,352.85,371.82,337.25,162925,254900,270471,16.13,40.17,1.70%
HAL,"Halliburton Company",11.31,11.9,11,16.68,10.6,17883426,27032398,15126705,1.02,5.91,1.59%
HAS,"Hasbro Inc",82.97,84.61,82.38,85.82,75.25,812800,765200,979933,3.67,19.28,3.28%
HBAN,"Huntington Bcshs",9.33,9.29,9.06,10.16,8.52,9099500,7566600,9511295,0.78,12.1,6.43%
HBI,"Hanesbrands Inc",16.15,16.13,15.52,16.44,15.13,3537224,4368800,5010186,1.7,3.1,3.72%
HCA,"Hca Holdings Inc",127.05,125.7,121.48,139.37,114.38,1490143,1847900,1700124,9.15,1.68,0.00%
HD,"Home Depot",279.31,280,275.85,287.7,262.81,2943577,2696900,3782643,10.91,-0.38,2.15%
HES,"Hess Corp",37.71,40.38,38.66,47.84,37.47,3224804,3050200,2696514,-2.57,23.98,2.65%
HFC,"Hollyfrontier Corp",19.6,19.6,18.59,24.55,18.38,2613153,3057800,2842843,2.44,36.53,7.14%
HIG,"Hartford Financial Services Group",37.56,37.22,36.28,43.08,34.69,2300092,1675100,2499329,5.49,47.66,3.46%
HII,"Huntington Ingalls Industries",144.13,142.86,139.3,154.43,136.44,392810,364100,497548,13.63,41.46,2.86%
HLT,"Hilton Inc",87.96,87.24,85.55,95.08,81.48,1644013,1779500,3030862,2.18,-4.66,0.00%
HOLX,"Hologic Inc",66.88,67.86,65.97,67.86,56.81,1086100,1493900,2113781,2.58,8.72,0.00%
HON,"Honeywell International Inc",165.61,167.14,162.12,173.82,156.85,2340126,2409400,2797114,7.61,26.17,2.17%
HPE,"Hewlett Packard Enterprise Comp",9.42,9.44,9.15,10.1,8.84,9226979,8777800,11030967,1.47,12.61,5.10%
HPQ,"Hp Inc",19.09,19.28,18.93,20.05,17.83,8391238,10634300,10921233,2.25,-1.45,3.69%
HRL,"Hormel Foods Corp",49.02,49.4,48.45,52.37,47.4,983265,1316800,1487543,1.71,11.62,1.90%
HSIC,"Henry Schein Inc",57.97,59.67,57.52,67.28,56.31,1245600,817600,1069391,2.81,25.37,0.00%
HST,"Host Marriott Financial Trust",11.29,11.16,10.78,12.25,10.04,6346419,10430100,9420629,0.12,9.53,0.00%
HSY,"Hershey Foods Corp",142.92,144.52,141.71,152.18,134,535654,759600,807495,5.83,8.44,2.25%
HUM,"Humana Inc",408.31,417.14,409.69,431.12,382.72,521457,541200,701990,25.27,108.97,0.61%
