Symbol,Name,Last,"Prev High","Prev Low","1M High","1M Low",Volume,"Prev Vol","1M Avg Vol","Earnings ttm","Book Value","Div Yield"
A,"Agilent Technologies",101.22,101.89,100.31,103.66,94.76,723579,1362100,1284719,3.19,16.16,0.72%
AAL,"American Airlines Gp",12.58,12.91,12.22,14.16,11.22,48841902,65428102,55998953,-7.9,-6.23,0.00%
AAP,"Advance Auto Parts Inc",154.85,154.87,151.45,159.56,142.46,649657,546600,710995,7.57,53.93,0.66%
AAPL,"Apple Inc",116.79,117.26,113.62,137.98,103.1,116120398,142675109,183354391,3.3,4.23,0.72%
ABBV,"Abbvie Inc",87.14,88.44,86.81,94.31,85.32,8777328,8209300,7566281,9.3,8.35,5.43%
ABC,"Amerisourcebergen Corp",95.36,97.85,95.69,100.09,92,730587,1042700,939133,7.62,19.45,1.75%
ABMD,"Abiomed Inc",260.45,280.88,272.22,315.35,256.17,971000,339800,359600,3.72,24.46,0.00%
ABT,"Abbott Laboratories",108.64,109.48,105.74,110.33,100.34,7242069,9487000,5272486,3.01,17.39,1.37%
ACN,"Accenture Plc",225.18,228.29,224.62,247.82,210.42,1928782,2250100,2303086,7.6,27.48,1.43%
ADBE,"Adobe Systems Inc",499.51,497.24,486.22,536.88,452.52,2264600,3508100,4030757,8.04,24.42,0.00%
ADI,"Analog Devices",118.99,118.25,116.21,122.52,110.66,3092900,3185000,3235943,4.66,31.9,2.13%
ADM,"Archer Daniels Midland",46.6,46.81,46.06,48.56,44.58,1996960,2583900,3611519,3.68,34.75,3.13%
ADP,"Automatic Data Procs",137.7,140.97,137.77,144.25,127.31,2023000,2856800,2245291,5.92,13.38,2.65%
ADSK,"Autodesk Inc",233.96,236.71,228.95,261.94,215.83,1438700,1466000,1563209,1.99,0.31,0.00%
AEE,"Ameren Corp",79.86,79.91,78.53,81.18,75.27,1060789,1444900,1144352,3.42,33.9,2.51%
AEP,"American Electric Power Company",83.06,82.1,81.24,83.09,77.67,2365600,2594900,2347305,4.16,40.92,3.46%
AES,"The Aes Corp",17.92,18.27,17.96,19.12,17.13,4895918,6615500,5188695,1.37,6.98,3.18%
AFL,"Aflac Inc",36.39,36.81,36.04,38.4,34.92,2482935,3922300,4329647,4.68,41.27,3.11%
AIG,"American International Group",27.72,27.94,27.25,30.96,25.57,5155535,5338600,7635481,2.36,72.92,4.69%
AIV,"Apartment Investment and Management",35.19,33.97,33.4,38.09,32.85,976133,1304200,1655671,1.21,11.92,4.92%
AIZ,"Assurant Inc",122.47,123.46,120.76,126.57,116.11,322183,479800,377433,9.33,100.33,2.09%
AJG,"Arthur J. Gallagher & Company",105.61,106.46,104.55,108.03,100.32,745035,1197800,925505,4.15,28.91,1.72%
AKAM,"Akamai Technologies",109.93,112.21,110.15,120,104.08,1440400,1099200,1532467,3.9,24.06,0.00%
ALB,"Albemarle Corp",86.73,90.13,87.22,101,79.06,1371831,1369000,1349014,5.12,39.56,1.77%
ALGN,"Align Technology",317.61,332.88,320.29,340.29,297.44,857200,687000,717019,21.5,36.11,0.00%
ALK,"Alaska Air Group",36.91,38.27,36.47,43.94,34.83,1858682,1922300,2361981,-0.27,31.5,0.00%
ALL,"Allstate Corp",92.26,94.68,93.32,97.56,88.78,2662464,2090600,2033138,11.97,86.4,2.31%
ALLE,"Allegion Plc",98.5,101.72,97.9,105.67,94.01,872416,1442800,790752,4.71,7.37,1.29%
ALXN,"Alexion Pharm Inc",115.63,115,112.85,120.81,102.82,1498200,1697300,2295033,10.95,47.87,0.00%
AMAT,"Applied Materials",60.65,60.18,58.99,65.3,54.15,7542700,9074300,9767333,3.73,10.48,1.48%
AMCR,"Amcor Plc",11.01,11.11,10.92,11.43,10.44,7317518,7177800,8231609,0.45,2.92,4.24%
AMD,"Adv Micro Devices",84.86,82.94,80.66,94.28,73.85,52177102,51533598,55463344,0.68,2.82,0.00%
AME,"Amtek Inc",99.85,101.11,98.73,103.94,94.9,1046619,1032400,905881,4,23.89,0.72%
AMGN,"Amgen Inc",255.39,256.11,248.1,260.06,237.78,2428300,3526500,2652914,15.72,18.2,2.58%
AMT,"American Tower Corp",242.15,243.58,239.69,268.66,234.97,2500814,3345700,2266195,4.31,9.15,1.90%
AMZN,"Amazon.com Inc",3221.26,3212.88,3133.99,3552.25,2871,4971900,4896100,5593543,26.01,147.19,0.00%
ANET,"Arista Networks Inc",207.05,211.55,205.12,229.61,192.96,667776,891800,747095,7.95,39.94,0.00%
ANSS,"Ansys Inc",334.8,328.79,317.35,354.87,298.35,494000,682200,455829,4.89,40.16,0.00%
ANTM,"Anthem Inc",270.17,271.15,258.75,284.37,244.1,918107,1312700,1271038,24.43,136.99,1.46%
AON,"AON Plc",206.18,208.24,203.66,212.1,192.19,1391943,1583900,1495795,9.62,15.95,0.86%
AOS,"Smith [A.O.] Corp",53.59,54.01,52.72,54.46,47.22,959797,1353600,1196600,1.86,8.69,1.79%
APA,"Apache Corp",9.31,9.79,9.39,15.07,9.01,15803500,12557500,11109700,-1.08,-1.68,1.05%
APD,"Air Products and Chemicals",294.67,299.32,293.06,310.73,284.23,1316700,1152600,925790,8.46,54.43,1.82%
APH,"Amphenol Corp",109.79,109.79,107.59,113.25,101.69,1029572,1848500,1509076,3.45,16.09,0.92%
APTV,"Aptiv Plc",93.96,93.28,90.9,94.97,82.12,2137400,2278700,1877138,2,26.39,0.00%
ARE,"Alexandria Real Estate Equities",163.19,163.14,158.3,173.35,154.18,671677,1627300,995867,3.26,87.67,2.65%
ASML,"Asml Hld NY Reg",382.01,373.25,367.5,401.15,343.25,891600,867900,867529,7.64,33.31,0.66%
ATO,"Atmos Energy Corp",95.47,95.95,94.69,99.93,90.49,1124637,691000,914881,4.7,52.83,2.42%
ATVI,"Activision Blizzard",82.68,82.01,80.4,84.02,75.68,6035800,7454900,6753133,2.95,17.73,0.51%
AVB,"Avalonbay Communities",155.6,150.48,147.31,164.12,145.01,1140147,1204200,1195848,5.6,77.25,4.31%
AVGO,"Broadcom Ltd",368.6,371,361.71,378.96,343.48,1601800,2240300,2408310,17.37,58.24,3.57%
AVY,"Avery Dennison Corp",124.65,129.4,125.05,129.74,113.56,679878,886400,675786,6.32,14.54,1.86%
AWK,"American Water Works",148.57,146.28,144.14,148.86,137.01,1478183,1099600,810771,3.7,35.01,1.53%
AXP,"American Express Company",101.33,101.52,98.23,109.03,93.71,4179279,5060900,4623357,6.38,26.16,1.76%
AZO,Autozone,1181.72,1183.57,1153.64,1267.93,1108.62,222745,254800,231648,72.01,-37.6,0.00%
BA,"Boeing Company",167.86,170.98,164.11,180.85,145.02,30677082,38436602,22670662,-7.37,-20.16,0.00%
BAC,"Bank of America Corp",24.1,24.32,23.77,26.76,22.95,44782151,56226098,61411160,2.26,30.66,3.03%
