Symbol,Name,Last,"Prev High","Prev Low","1M High","1M Low",Volume,"Prev Vol","1M Avg Vol","Earnings ttm","Book Value","Div Yield"
A,"Agilent Technologies",100.22,99.73,98.12,103.66,94.76,722300,1336500,1291914,3.19,16.16,0.74%
AAL,"American Airlines Gp",12.25,13.15,12.49,14.16,11.22,47209496,63558199,56219648,-7.9,-6.23,0.00%
AAP,"Advance Auto Parts Inc",151.71,154.16,150.01,159.56,142.46,610300,726400,743405,7.57,53.93,0.67%
AAPL,"Apple Inc",114.09,115.32,112.78,137.98,103.1,100060500,137672391,189039031,3.3,4.23,0.73%
ABBV,"Abbvie Inc",86.89,88.2,86.87,96.01,85.32,5510100,6306900,7983590,9.3,8.35,5.47%
ABC,"Amerisourcebergen Corp",96.16,98.76,96.79,100.09,92,691200,680800,950210,7.62,19.45,1.74%
ABMD,"Abiomed Inc",272.46,275.32,268.48,315.35,256.17,186100,297200,327695,3.72,24.46,0.00%
ABT,"Abbott Laboratories",105.19,105.25,103.82,111.74,100.34,4470700,5515400,5185919,3.01,17.39,1.39%
ACN,"Accenture Plc",224.08,223.89,218.3,247.82,210.42,2589000,2587600,2290552,7.6,27.48,1.49%
ADBE,"Adobe Systems Inc",489.33,489.39,481.18,536.88,452.52,2043800,2844700,3982948,8.04,24.42,0.00%
ADI,"Analog Devices",116.65,117.07,114.76,122.52,110.66,2303800,2071600,3210110,4.66,31.9,2.19%
ADM,"Archer Daniels Midland",45.98,47.1,46.44,48.56,44.42,1718700,2514300,3636819,3.68,34.75,3.12%
ADP,"Automatic Data Procs",137.54,138.04,136.08,144.25,127.31,1965600,2593400,2227657,5.92,13.38,2.71%
ADSK,"Autodesk Inc",232.92,234.34,229.1,261.94,215.83,956900,995900,1549852,1.99,0.31,0.00%
AEE,"Ameren Corp",79.02,79.37,78.08,81.18,75.27,898200,713500,1110176,3.42,33.9,2.53%
AEP,"American Electric Power Company",80.97,81.53,80.46,81.56,77.29,1688900,1707800,2498647,4.16,40.92,3.47%
AES,"The Aes Corp",18,18.45,17.85,19.12,17.13,4226800,5012700,5020962,1.37,6.98,3.19%
AFL,"Aflac Inc",36.02,36.95,36.25,38.4,34.92,2908000,3502100,4369957,4.68,41.27,3.13%
AIG,"American International Group",27.29,28.03,27.42,30.96,25.57,4282400,7610400,7729576,2.36,72.92,4.73%
AIV,"Apartment Investment and Management",33.36,35.13,34.3,38.09,32.85,1074600,1115100,1651333,1.21,11.92,4.84%
AIZ,"Assurant Inc",120.59,121.36,119.07,126.57,116.11,265200,228800,371110,9.33,100.33,2.14%
AJG,"Arthur J. Gallagher & Company",104.77,105.42,103.26,108.03,100.32,504300,629300,923414,4.15,28.91,1.75%
AKAM,"Akamai Technologies",111.21,112.12,109.18,120,104.08,808500,1629900,1570067,3.9,24.06,0.00%
ALB,"Albemarle Corp",86.86,87.4,83.88,101,79.06,1252900,1433100,1327048,5.12,39.56,1.82%
ALGN,"Align Technology",320.17,328.78,320.99,340.29,293.33,452300,522000,704876,21.5,36.11,0.00%
ALK,"Alaska Air Group",36.67,38.26,36.74,43.94,34.83,1747900,2922800,2425467,-0.27,31.5,0.00%
ALL,"Allstate Corp",93.44,94.13,91.89,97.56,88.78,2403200,1385000,2003024,11.97,86.4,2.37%
ALLE,"Allegion Plc",99.17,100.72,98.46,105.67,94.01,485400,614500,750052,4.71,7.37,1.32%
ALXN,"Alexion Pharm Inc",112.46,115.76,112.73,120.81,102.82,1021400,1311000,2527495,10.95,47.87,0.00%
AMAT,"Applied Materials",59.65,59.85,58.25,65.3,54.15,5427800,8615900,9660657,3.73,10.48,1.51%
AMCR,"Amcor Plc",10.85,10.98,10.88,11.43,10.44,5108200,6415300,8264629,0.45,2.92,4.25%
AMD,"Adv Micro Devices",81.77,79.57,77.52,94.28,73.85,61633598,48005402,57513930,0.68,2.82,0.00%
AME,"Amtek Inc",99.89,100.44,98.82,103.94,94.9,1046400,685800,863600,4,23.89,0.74%
AMGN,"Amgen Inc",248.3,249.04,244.77,260.06,237.78,2008400,2214300,2699019,15.72,18.2,2.62%
AMT,"American Tower Corp",240.12,244.42,238.41,268.66,234.97,3098400,2593400,2101729,4.31,9.15,1.83%
AMZN,"Amazon.com Inc",3144.88,3175.04,3117.17,3552.25,2871,3503300,4224100,5488505,26.01,147.19,0.00%
ANET,"Arista Networks Inc",210.46,207.38,201.31,229.61,192.96,677900,791100,723938,7.95,39.94,0.00%
ANSS,"Ansys Inc",319.51,320.24,315.54,354.87,298.35,474900,326500,440790,4.89,40.16,0.00%
ANTM,"Anthem Inc",259.79,261.8,255.78,284.37,244.1,862000,914000,1318590,24.43,136.99,1.49%
