Symbol,Name,Last,"Prev High","Prev Low","1M High","1M Low",Volume,"Prev Vol","1M Avg Vol","Earnings ttm","Book Value","Div Yield"
AON,"AON Plc",205.09,204.9,198.52,212.1,192.19,1340300,1568800,1492510,9.62,15.95,0.90%
AOS,"Smith [A.O.] Corp",53.73,53.64,52.71,54.46,47.22,921100,1719700,1180476,1.86,8.69,1.84%
APA,"Apache Corp",9.54,10.65,10.1,15.12,9.43,13312500,15469899,10333810,-1.08,-1.68,1.02%
APD,"Air Products and Chemicals",293.86,295.81,292.13,310.73,284.23,603100,742200,887895,8.46,54.43,1.84%
APH,"Amphenol Corp",108.63,108.94,107,113.25,101.69,1518400,1205200,1484319,3.45,16.09,0.95%
APTV,"Aptiv Plc",91.92,90.88,88.35,92.29,82.12,1896900,1295600,1791172,2,26.39,0.00%
ARE,"Alexandria Real Estate Equities",159.93,162.45,159.85,173.35,154.18,714400,1357400,962924,3.26,87.67,2.68%
ASML,"Asml Hld NY Reg",374,371.49,364.35,401.15,343.25,608700,822000,839376,7.64,33.31,0.69%
ATO,"Atmos Energy Corp",95.1,95.76,94.65,100.21,90.49,927200,550100,898695,4.7,52.83,2.41%
ATVI,"Activision Blizzard",80.78,82.02,80.5,84.49,75.68,4829900,3838000,6692843,2.95,17.73,0.51%
AVB,"Avalonbay Communities",147.52,152.82,149.58,164.12,145.01,851700,1126000,1184519,5.6,77.25,4.30%
AVGO,"Broadcom Ltd",364.26,368.43,359.03,378.96,343.48,1382900,2219100,2470524,17.37,58.24,3.64%
AVY,"Avery Dennison Corp",124.59,123.86,120.53,129.74,113.06,662600,565100,651967,6.32,14.54,1.94%
AWK,"American Water Works",143.7,146.06,143.65,146.3,137.01,565200,599100,751490,3.7,35.01,1.53%
AXP,"American Express Company",97.75,99.72,98.63,109.03,93.71,3200600,3931000,4555214,6.38,26.16,1.79%
AZO,Autozone,1154.92,1162.5,1140.35,1267.93,1108.62,175900,211700,230419,72.01,-37.6,0.00%
BA,"Boeing Company",163.6,168,159.2,180.85,145.02,19920900,38868102,21058662,-7.37,-20.16,0.00%
BAC,"Bank of America Corp",23.77,24.31,23.79,26.76,22.95,45716102,47996801,61152121,2.26,30.66,3.07%
BAX,"Baxter International Inc",79.09,81.1,79.38,87.25,77.72,3590500,1793200,3062548,2.43,16.12,1.23%
BBY,"Best Buy Company",110.08,108.57,106.65,114.43,102.83,2378900,1508100,2141510,6.41,14.6,2.08%
BDX,"Becton Dickinson and Company",225.43,227.91,224.71,246.68,219.5,845600,1046500,1722495,10.71,82.87,1.41%
BF.B,"Brown Forman Inc Cl B",75.23,76.33,75.17,83.4,71.2,830700,1115600,976838,1.74,4.49,0.94%
BIDU,"Baidu Inc",122.58,126.12,124.23,129.03,116.41,3909900,3998900,2827305,6.61,69.83,0.00%
BIIB,"Biogen Inc",282.35,287.95,279.18,288.03,265.05,864700,1782200,1259138,36.91,71.31,0.00%
BIO,"Bio-Rad Laboratories",515.1,519.47,508.85,528.95,472.84,96800,106800,166371,7.45,247.76,0.00%
BK,"Bank of New York Mellon Corp",33.87,34.61,33.86,38.45,32.65,4204800,3291900,4472410,4.14,49.45,3.71%
BKNG,"Booking Holdings Inc",1672.98,1729.25,1671.25,1966.22,1601.01,228500,296200,383333,61.62,97.66,0.00%
BKR,"Baker Hughes A Ge CO Cl A",13.13,13.68,13.35,15.61,12.96,4779800,5526200,7595343,0.54,16.99,5.48%
BLL,"Ball Corp",82.36,82.79,81.29,85.68,78.58,916600,911900,1541291,2.67,8.68,0.74%
BMRN,"Biomarin Pharmaceuticals",76,79.21,77.72,80.94,71.35,1320900,1458800,2375814,0.76,17.85,0.00%
BMY,"Bristol-Myers Squibb Company",59.9,60.21,58.96,62.8,56.9,8084200,9616500,11011152,5.74,21.73,3.03%
BR,"Broadridge Financial Solutions Llc",131.72,133.29,131.38,143.74,126.77,227200,528700,474271,5.03,11.73,1.66%
BRK.B,"Berkshire Hathaway Cl B",210.44,215.47,212.02,223.24,206.58,4037900,5043900,5508109,9.71,166.34,0.00%
BSX,"Boston Scientific Corp",37.76,38.45,37.98,42.37,36.8,5951300,6436500,7748457,1.21,11.16,0.00%
BWA,"Borgwarner Inc",38.03,38.29,37.52,43.22,36.34,1662700,3221700,2690424,2.76,22.98,1.85%
BXP,"Boston Properties",80.28,84.04,81.89,90.68,78.41,939600,1297000,1384248,6.52,55.01,4.88%
C,"Citigroup Inc",42.42,43.88,42.89,53.64,41.29,20700199,21204500,29925875,5.44,92.37,4.85%
CAG,"Conagra Brands Inc",35.48,35.75,35.16,38.71,33.65,2527100,2287200,3044709,2.28,16.32,2.42%
CAH,"Cardinal Health",46.89,48.54,47.46,51.9,44.65,1546300,1837200,2696310,5.45,6.14,4.10%
CAR,"Avis Budget Group",25.82,28.41,27.33,36.96,25.69,2048300,1763200,1853891,-3.31,-2.19,0.00%
CARR,"Carrier Global Corp [Carr/I]",30.5,31.56,30.43,31.56,28.58,6878800,7027900,4853167,0.68,5.04,1.05%
CAT,"Caterpillar Inc",147.41,150.31,147.41,156.25,140.91,1624100,2212700,3528510,7.92,25.44,2.82%
CB,"Chubb Ltd",114.34,118.38,115.34,130.23,111.93,2480800,1665700,1804624,7.1,121.32,2.74%
CBOE,"CBOE Global Markets Inc",86.89,91.57,88.84,92.68,83.79,1329200,519700,894629,5.46,30.22,1.87%
CBRE,"CBRE Group Inc",46.77,47.88,46.95,51.03,44.59,872300,1439700,1465619,3.21,18.75,0.00%
CCI,"Crown Castle International Corp",164.18,164.75,161.83,167.79,155.01,1552600,1843900,1931633,1.8,23.41,2.97%
CCL,"Carnival Corp",15.07,15.55,14.78,18.92,13.4,23496000,36759402,41574246,0.17,39.49,0.00%
CDNS,"Cadence Design Sys",105.78,105.32,103.83,117.59,97.45,1187900,1427400,1745648,3.63,8.09,0.00%
CDW,"CDW Corp",118.11,116.72,113.11,118.96,105.87,790000,1214900,941481,6.23,7.42,1.35%
CE,"Celanese Corp",106.88,109.94,107.58,115.03,100.02,476300,718900,850414,8.11,24.25,2.34%
CERN,"Cerner Corp",71.19,71.63,69.81,76.21,66.75,1257900,1833100,1705629,2.4,13.16,1.04%
CF,"Cf Industries Holdings",29.86,31.5,30.89,35.63,29.77,1600400,1434200,2190695,1.74,26.08,3.94%
CFG,"Citizens Financial Group Inc/Ri",24.78,25.54,24.91,28.18,23.46,2884500,4067700,7219990,2.61,52.52,6.39%
CHD,"Church & Dwight Company",92.85,94.4,93.21,98.96,88.64,1120600,1048900,1271867,2.81,12.13,1.03%
CHKP,"Check Point Software",120.73,122.29,120.55,130.98,114.89,711500,820600,1063367,5.82,23.42,0.00%
CHRW,"C.H. Robinson Ww",103.7,104.54,102.68,105.71,95.69,1202400,1043700,1438867,3.43,12.64,1.99%
CHTR,"Charter Communicatio",626.5,633.64,619.64,635.85,591.6,817300,1035200,1049586,10.7,177.65,0.00%
CI,"Cigna Corp",164.31,166.71,163.89,185.25,158.84,1460600,1161800,2192529,19.35,128.38,0.02%
CINF,"Cincinnati Financial",77.89,80.07,77.56,83.99,73.79,576300,792900,806976,3.59,57.56,3.12%
CL,"Colgate-Palmolive Company",76.22,77.51,76.42,80.1,74.35,2075900,2586200,3119338,2.93,0.85,2.32%
CLX,"Clorox Company",210.41,214.25,210.47,225.38,204.61,1063800,889200,1491081,7.35,7.19,2.10%
CMA,"Comerica Inc",37.73,38.88,37.82,42.47,35.76,909300,1267000,1505271,4.12,56.11,7.29%
CMCSA,"Comcast Corp A",46.2,47.07,46.24,47.5,43.12,11873899,16208700,20222225,2.98,18.56,1.99%
CME,"CME Group Inc",166.12,170.13,167.58,177.48,161.65,1741700,1396800,1654162,7.38,75.03,2.04%
CMG,"Chipotle Mexican Grill",1261.61,1274.94,1243.5,1384.46,1180,178800,196200,352076,10.16,60.94,0.00%
CMI,"Cummins Inc",212.9,214.4,210.56,214.8,199.7,740500,874900,981248,11.52,55.05,2.51%
CMS,"Cms Energy Corp",61.11,62.24,61.17,62.81,58.63,1026400,1047000,1995186,2.76,18.34,2.66%
CNC,"Centene Corp",55.86,56.84,55.25,62.78,53.6,2522800,4530100,3817624,4.95,43.44,0.00%
CNP,"Centerpoint Energy Inc",19,19.3,18.99,20.75,18.6,2858400,3074200,4589086,1.69,15.4,3.16%
COF,"Capital One Financial Corp",70.45,72.38,69.97,77.5,66.46,2150600,1714300,2906890,1.18,123.09,0.58%
COG,"Cabot Oil & Gas Corp",17.64,18.29,18.04,19.82,17.33,5966400,3393400,4733738,0.7,5.43,2.21%
COO,"Cooper Companies",333.59,340.68,333.7,352.4,304.92,185700,182800,336481,9.78,70.5,0.02%
COP,Conocophillips,32.46,34.74,33.62,38.45,32.17,6663100,8958300,8168224,1.11,29.37,4.99%
COST,"Costco Wholesale",352.14,349.77,343.1,363.67,331.2,2526600,3459100,2745591,8.85,42.37,0.82%
CPB,"Campbell Soup Company",48.02,48.37,47.44,52.88,44.53,1693300,2128800,3463738,2.96,8.5,2.94%
CPRT,"Copart Inc",105.74,106.5,105.4,110,100.07,583100,1063400,1512933,2.57,10.6,0.00%
CRM,"Salesforce.com Inc",247.45,248.58,242.21,284.5,233.63,4009900,4088300,7953781,1.5,42.24,0.00%
CSCO,"Cisco Systems Inc",39.06,39.29,38.79,42.69,37.6,16476801,24275699,25893938,2.92,8.96,3.75%
CSX,"CSX Corp",77.6,79.72,78.5,81.4,74.14,3827900,2896800,4270319,3.72,15.9,1.33%
CTAS,"Cintas Corp",330.28,337.35,330,344.97,307.65,329600,546600,510386,8.56,34.15,0.78%
CTLT,"Catalent Inc",85.19,84.66,83.07,95.7,79.65,612500,842600,2779271,1.87,22.63,0.00%
CTSH,"Cognizant Tech Sol",69,69.65,68.73,71.81,65.04,2585500,3971400,3172057,3.93,20.23,1.29%
CTVA,"Corteva Inc",28.59,29.32,28.75,30.21,27.18,1972000,2714400,4158714,1.53,33.13,1.83%
CTXS,"Citrix Systems Inc",136.95,139,136.69,148.47,131.15,797100,767600,1446581,4.81,-0.76,1.03%
CVS,"CVS Corp",57.54,58.6,57.6,63.06,56.1,5784200,5304800,9539096,8.12,52.23,3.49%
CVX,"Chevron Corp",71.9,74.76,73.15,85.9,70.5,10561300,12863801,12162638,2.78,71.97,7.18%
CXO,"Concho Resources Inc",44.4,45.44,43.94,52.4,42.68,1691200,2814000,2060643,3.49,40.26,1.83%
D,"Dominion Resources",77.88,78.42,77.06,82.41,75.3,3525000,3076800,4136619,4.27,36.76,4.88%
DAL,"Delta Air Lines Inc",30.61,31.96,30.14,35.07,27.92,14831101,22098400,22217809,-0.92,13.62,0.00%
DD,"Du Pont De.Nemours Inc",55.19,57.29,55.87,60.98,53.49,4099100,3544800,4172586,3.45,51.21,2.18%
DE,"Deere & Company",220.18,224.36,221.5,225.38,207.77,903300,1191400,1722633,8.45,41.14,1.39%
DFS,"Discover Financial Services",55.64,57.28,55.47,60.45,51.74,2283900,3822200,3225695,3.16,31.47,3.25%
DG,"Dollar General Corp",209.64,210.89,206.19,211.98,190.76,1289500,1528200,1921081,9.2,29.54,0.69%
DGX,"Quest Diagnostics Inc",113.65,115.4,112.66,118.19,106.54,635700,953300,1447676,5.79,43.79,2.01%
DHI,"D.R. Horton",74.02,74.68,72,75.88,66.51,2285600,3151200,3432957,5.36,31.14,0.97%
DHR,"Danaher Corp",211.01,211.33,207.79,212.24,192.51,1724000,2076400,2162605,4.93,52,0.35%
DIS,"Walt Disney Company",125.4,126.86,125.37,137.24,120.78,7432500,6283600,8965396,3.28,50.06,0.00%
DISCA,"Discovery Comm A",21.75,22.12,21.56,24.76,20.79,2295700,3105800,4287686,3.49,22.41,0.00%
DISCK,"Discovery Comm Inc",19.47,19.9,19.22,22.58,18.83,2123400,2773900,2821586,3.49,22.41,0.00%
DISH,"Dish Network Corp",29.65,30.03,29,36.94,27.99,1547600,2377600,2619543,2.26,23.18,0.00%
DLR,"Digital Realty Trust",147.52,146.14,143.84,157,138.71,1017500,1414800,1682519,3.48,65.9,3.15%
DLTR,"Dollar Tree Inc",89.87,91.38,89.75,96.61,84.41,1233800,1684500,2105271,5.01,28.71,0.00%
DOCU,"Docusign Inc",212.93,216.8,209.93,290.23,187.21,3228400,3944500,9936147,-0.83,2.73,0.00%
DOV,"Dover Corp",108.24,110.76,108.64,116.37,105.79,509000,762800,760952,5.66,21.46,1.82%
DOW,"Dow Inc",46.57,48.28,46.5,51.56,44.47,2716800,3993100,5007962,2.02,17.67,6.08%
DPZ,"Domino's Pizza Inc",423.46,423.11,414.88,428.54,376.11,390700,415900,583124,11.24,-83.43,0.75%
DRE,"Duke Realty Corp",36.96,37.01,36.47,39.52,35.37,1705500,1224000,1908405,1.01,13.65,2.59%
DRI,"Darden Restaurants",100.8,101.29,97.27,101.75,84.91,2289100,3217900,2330800,2.34,18.28,0.00%
DTE,"Dte Energy Company",114.4,115.79,114.36,121.9,109.65,839300,875100,1050667,6.45,61.73,3.53%
DUK,"Duke Energy Corp",82.41,84.08,82.66,85.87,78.97,2174700,2424500,3199243,4.92,63.43,4.68%
DVA,"Davita Healthcare Partners Inc",84.14,85.86,84.06,92.67,81.03,855200,901800,1503052,7.17,19.13,0.00%
DVN,"Devon Energy Corp",9.57,10.02,8.98,11.14,8.43,25320600,39400801,10216404,0.54,8.76,4.99%
DXC,"Dxc Technology Company",17.7,17.34,16.6,22.7,15.64,3673900,2909200,3314381,4.04,19.45,0.00%
DXCM,Dexcom,402.18,401.5,387.01,449.98,375.62,559500,1081100,839005,3.03,14.14,0.00%
EA,"Electronic Arts Inc",130.02,133.85,130.87,141.11,123.33,1793500,1796800,2390310,5.39,26.95,0.00%
EBAY,"Ebay Inc",52.65,54.36,53.1,55.42,47.44,7029200,6507100,9136452,2.81,4.15,1.22%
ECL,"Ecolab Inc",197.45,201.44,197.69,209.67,192.42,776900,1315900,1221919,5.15,20.64,0.96%
ED,"Consolidated Edison Company of New York",76.98,77.15,75.51,77.7,69.3,1608500,1657600,2923990,4.34,55.2,4.04%
EFX,"Equifax Inc",157.84,159.43,157.48,174.72,150.53,378500,462800,739924,6.01,22.51,1.00%
EIX,"Edison International",51.02,52.64,51.47,53.58,48.47,1335000,2674800,2625690,4.11,43.48,4.94%
EL,"Estee Lauder Companies",214.78,217.86,214.97,224.23,204.23,957900,873900,1099300,4.1,10.99,0.89%
EMN,"Eastman Chemical Company",77.15,79.43,78.11,86.32,72.02,535800,1035000,1182538,6.24,45.05,3.42%
EMR,"Emerson Electric Company",65.16,66.23,65.19,71.08,63.16,1399000,1949300,2308514,3.43,13.19,3.11%
EOG,"Eog Resources",36.19,38.37,37.26,46.25,34.9,7018300,4169900,4827562,2.8,35.02,4.01%
EQIX,"Equinix Inc",763.46,771.42,760.48,801.98,729.39,290400,333000,340233,5.77,117.3,1.42%
EQR,"Equity Residential",51.09,52.91,51.87,59.1,50.01,2947900,2193400,3045933,3.01,29.12,4.67%
ES,"Eversource Energy",83.01,83.74,81.92,87.96,77,778600,1293100,1550819,3.52,41.03,2.75%
ESS,"Essex Property Trust",199.6,209.57,205.29,227.24,198.08,330300,399800,434110,9.51,97.11,4.07%
ETFC,"E*Trade Finl Corp",48.93,50.83,49.59,56.26,47.44,1642700,1385800,1985381,3.62,30.85,1.15%
ETN,"Eaton Corp",101.18,103.52,101.2,106.07,96.24,1077600,1599600,1681600,4.68,35.58,2.92%
ETR,"Entergy Corp",95.78,98.02,96.54,101.5,93.29,825500,940100,1137062,5.71,52.26,3.84%
ETSY,"Etsy Inc",123.23,123.95,119.19,129.94,103.06,2622600,3456500,5380176,1.22,4.42,0.00%
EVRG,"Evergy Inc",50.15,50.55,49.73,53.79,48.61,3308700,1357100,1622386,2.98,37.61,4.02%
EW,"Edwards Lifesciences Corp",78.31,78.72,77.49,87.79,74.07,2640700,2805600,2871767,1.8,6.17,0.00%
EXC,"Exelon Corp",35.32,36.23,35.64,38.35,33.97,3278900,4661600,5437647,3.17,35.78,4.31%
EXPD,"Expeditors Intl",91.63,92.19,90.97,95.12,86.23,695700,742600,1118714,3.53,12.99,1.15%
EXPE,"Expedia Group Inc",91.78,95.26,91.67,104.05,89.72,2245300,2240300,2490205,-2.62,29.92,0.00%
EXR,"Extra Space Storage Inc",107.24,108.73,106.37,113.19,102.74,630400,797000,836286,3.32,21.27,3.41%
F,"Ford Motor Company",6.6,6.77,6.58,7.4,6.41,39014199,47582602,60926574,-0.12,7.76,0.00%
FANG,"Diamondback Energy",31.2,32.03,30.66,40.2,28.84,2003700,2581200,3045286,5,74.99,5.02%
FAST,"Fastenal Company",45.33,45.99,45.24,49.86,43.05,3011900,2823700,3860376,1.45,4.85,2.23%
FB,"Facebook Inc",261.79,259.6,254.82,303.6,244.13,20215500,18826201,23637191,8.19,38.77,0.00%
FBHS,"Fortune Brands Home & Security",85.25,86.6,84.22,86.8,80.01,725500,922200,977676,3.7,17.83,1.15%
FCX,"Freeport-Mcmoran Inc",15.32,15.94,15.43,17.5,14.67,13625899,17461100,21393072,-0.12,11.81,0.65%
FDX,"Fedex Corp",253.5,259.95,254.08,259.95,217.4,2204300,3309800,4223581,11.32,74.12,1.04%
FE,"Firstenergy Corp",28.6,28.89,28.43,30.02,27.3,2531400,3233200,4651262,2.54,13.18,5.45%
FFIV,"F5 Networks Inc",124.01,123.49,121.54,133.7,116.79,733500,592000,630981,6.98,35.43,0.00%
FIS,"Fidelity National Information Services",148.8,148.76,147.12,156.73,138.46,2034800,1722600,2780067,5.43,79.4,0.96%
FISV,"Fiserv Inc",103.59,104.67,103.19,104.74,92.15,3675100,3650000,5803600,4.07,49.33,0.00%
FITB,"Fifth Third Bncp",20.99,21.52,20.78,22.55,19.32,5726400,6739400,6243281,1.86,31.37,5.28%
FLIR,"Flir Systems Inc",35.58,36.17,35.46,37.26,33.39,769200,1041900,1343843,2.2,13.38,1.93%
FLS,"Flowserve Corp",26.93,27.94,27.15,30.53,26.08,886000,637700,1043243,1.99,12.99,3.01%
FLT,"Fleetcor Technologies",240.75,243.45,239.59,257.11,228.01,1010800,531100,729457,11.07,34.72,0.00%
FMC,"FMC Corp",105.31,107.99,106.06,113.73,102.63,400100,609200,630243,6.26,22,1.67%
FOX,"Fox Corp Cl B",27.82,27.9,27.14,29.87,25.61,908600,1044700,1583624,2.48,16.72,1.72%
FOXA,"Fox Corp Cl A",27.77,27.86,27.07,29.92,25.57,3335200,3112800,4482100,2.48,16.72,1.72%
FRC,"First Republic Bank",107.67,109.2,105.93,116.76,100.38,927600,975200,836043,5.3,61.46,0.00%
FRT,"Federal Realty Investment Trust",72.99,75.81,74.13,84.11,70.68,431400,587600,704043,3.57,33.47,5.80%
FTI,"Technipfmc Plc",6.21,6.45,6.28,7.93,5.96,5070700,5433900,5975971,0.13,9.32,0.00%
FTNT,"Fortinet Inc",117.1,118.5,116.41,134.4,112.61,1037100,926200,1296552,2.13,3.36,0.00%
FTV,"Fortive Corp",76.21,76.57,75.06,78.68,70.97,3200900,1922500,3568200,3.32,21.97,0.38%
GD,"General Dynamics Corp",138.55,142.4,139.7,156.56,135.16,1074400,721400,1154281,11.26,48.41,3.18%
GE,"General Electric Company",6.12,6.31,6.18,7.18,5.93,74065695,83292797,116758742,0.26,4.03,0.65%
GILD,"Gilead Sciences Inc",62.1,63.41,62.52,67.92,61.65,8666600,7474700,9418396,5.54,14.46,4.37%
GIS,"General Mills",59.86,60.49,59.15,65.52,56.92,2246400,2781700,3631072,3.82,14.33,3.28%
GL,"Globe Life Inc",79.01,80.71,79.26,85.99,75.39,414500,450500,538829,6.81,73.69,0.96%
GLW,"Corning Inc",31.97,32.19,31.63,33.86,30.16,3117800,3036200,5146291,1.35,15.93,2.82%
GM,"General Motors Company",28.74,30.04,29.38,33.33,28.24,7438600,8395600,16191457,1.89,30.39,0.00%
GOOG,"Alphabet Cl C",1469.33,1476.8,1449.3,1733.18,1406.55,979100,2007900,1937681,45.47,304.81,0.00%
GOOGL,"Alphabet Cl A",1466.02,1472.99,1446.28,1726.1,1402.15,1591100,1539200,1957524,45.47,304.81,0.00%
GPC,"Genuine Parts Company",94.74,96.33,94.83,104.39,92.82,534600,715000,956781,5.09,19.9,3.36%
GPN,"Global Payments Inc",177.5,180.1,176.8,185.26,164.57,1020400,1558100,1788162,5.83,92.34,0.45%
GPS,"Gap Inc",16.71,17.45,16.64,18.46,15.76,7157700,9311500,7968076,-1.45,6.03,0.00%
GRMN,"Garmin Ltd",95.01,95.81,93.96,106,91.84,487500,550600,765867,4.38,24.79,2.61%
GS,"Goldman Sachs Group",196.79,201.87,197.15,215.23,185.87,2401500,3280100,3764157,18.85,261.65,2.56%
GWW,"W.W. Grainger",352.08,357.03,351.42,371.86,337.25,116600,156000,268667,16.13,40.17,1.76%
HAL,"Halliburton Company",12.07,12.92,12.55,16.68,12,13407900,16598400,13898643,1.02,5.91,1.46%
HAS,"Hasbro Inc",81.24,78.65,77.29,83.26,75.25,941600,482400,937167,3.67,19.28,3.53%
HBAN,"Huntington Bcshs",9.05,9.21,8.94,10.16,8.52,5997300,6975800,9527838,0.78,12.1,6.80%
HBI,"Hanesbrands Inc",15.44,15.97,15.63,16.44,15.13,3652100,3781100,5083914,1.7,3.1,3.87%
HCA,"Hca Holdings Inc",120.18,123.86,120.82,139.48,114.38,1132000,1119200,1736495,9.15,1.68,0.00%
HD,"Home Depot",272.11,274.22,270.3,288.04,262.81,2049200,3061000,3801148,10.91,-0.38,2.23%
HES,"Hess Corp",40.69,41.54,40.28,47.84,38.29,1886600,1861300,2545810,-2.57,23.98,2.47%
HFC,"Hollyfrontier Corp",20.18,20.98,20.37,25.85,19.28,1812700,2458700,3437105,2.44,36.53,6.95%
HIG,"Hartford Financial Services Group",36.53,37.39,36.53,43.08,34.69,1872400,1928100,2457781,5.49,47.66,3.63%
HII,"Huntington Ingalls Industries",141.21,145.24,141.7,154.43,136.44,234400,340600,544724,13.63,41.46,2.92%
HLT,"Hilton Inc",86.6,89.44,86.8,95.08,81.48,2977600,2289400,3153533,2.18,-4.66,0.00%
HOLX,"Hologic Inc",66.12,66.61,65.1,66.73,56.81,1242700,1630000,2357757,2.58,8.72,0.00%
HON,"Honeywell International Inc",164.51,166.15,163.23,173.82,156.85,2192700,2512900,3035957,7.61,26.17,2.23%
HPE,"Hewlett Packard Enterprise Comp",9.38,9.5,9.24,10.1,8.84,7850800,13486200,11473571,1.47,12.61,5.27%
HPQ,"Hp Inc",18.92,18.94,18.56,20.17,17.83,8248100,11572100,11433833,2.25,-1.45,3.85%
HRL,"Hormel Foods Corp",48.51,49.31,48.73,52.37,47.4,1345100,1169200,1630271,1.71,11.62,1.90%
HSIC,"Henry Schein Inc",58.57,60.41,59.39,67.28,56.31,752100,708500,1034914,2.81,25.37,0.00%
HST,"Host Marriott Financial Trust",10.73,11.13,10.84,12.25,10.04,6901700,6413300,9218900,0.12,9.53,0.00%
HSY,"Hershey Foods Corp",141.19,141.92,139.65,152.18,134,735200,589900,807810,5.83,8.44,2.31%
HUM,"Humana Inc",401.5,409.47,399.27,431.12,382.72,847600,697300,730814,25.27,108.97,0.62%
