Symbol,Name,Open,Last,"Prev Open",Previous,"Open 2D Ago","Last 2D Ago","1M MA","1M High","1M Low",Volume,"Prev Vol","5D Avg Vol","1M Avg Vol"
A,"Agilent Technologies",105.89,105.61,106.78,105.49,105.95,106.7,102.14,107.62,95.44,770994,635900,815140,938091
AAL,"American Airlines Gp",12.75,12.8,12.64,12.56,12.31,12.46,12.55,13.68,11.22,46503000,50560598,40240922,55786895
AAP,"Advance Auto Parts Inc",154.68,153.02,156.11,153.25,157.52,154.99,153.63,160.77,142.46,614381,603800,594860,717509
AAPL,"Apple Inc",116.2,117.51,119.96,115.98,121.28,119.02,115.49,125.39,103.1,123912305,120639297,124713383,143779609
ABBV,"Abbvie Inc",84.19,84.25,86.59,84.31,85.89,86.27,86.83,89.43,83.42,6932514,10287900,6928080,7051668
ABC,"Amerisourcebergen Corp",98.17,97.99,99.53,97.8,99.6,99.52,96.74,100.71,92,726091,527300,892300,803618
ABMD,"Abiomed Inc",283.35,277.53,287.58,281.47,283.58,286.48,271.95,291.33,255.4,141600,227800,227500,292105
ABT,"Abbott Laboratories",108.35,108.36,109.9,108.04,107.7,109.67,106.94,111.57,100.34,3863571,4228500,4032800,4812591
ACN,"Accenture Plc",226.7,230.39,230.23,226.24,229.03,230.05,226.25,239.35,210.42,1783836,1904400,1637460,2108250
ADBE,"Adobe Systems Inc",495.25,494.58,507.75,495.2,504,502.82,491.09,519.6,456.73,1415500,1931400,1972880,2408354
ADI,"Analog Devices",122.96,123.62,124.62,122.61,124.75,123.64,118.72,126.49,110.66,2898300,2390800,2209920,2908636
ADM,"Archer Daniels Midland",50.83,50.87,50.71,50.31,50.04,49.79,47.85,51.47,44.58,3246909,3823700,3316260,2872468
ADP,"Automatic Data Procs",146.43,146.62,148.1,145.05,148.21,148.42,141.31,152.15,127.31,1195500,2198900,1698680,2070673
ADSK,"Autodesk Inc",261.41,257.34,262.67,259.94,253.21,259.97,236.7,268.44,215.83,1715400,2330700,2077720,1414745
AEE,"Ameren Corp",82.19,82.14,82.4,81.64,81.26,82.39,79.97,83.4,75.27,916025,795900,800060,987936
AEP,"American Electric Power Company",91.9,90.68,91.43,91.28,89.76,91.52,85.75,91.9,77.79,3647000,2229600,2360320,2681205
AES,"The Aes Corp",20.17,20,19.9,19.9,19.93,19.9,18.81,20.39,17.42,4668234,8025400,4826300,5235746
AFL,"Aflac Inc",36.93,36.91,37.3,36.48,37.41,37.21,36.88,38.72,34.92,3219259,3208400,2827460,3091545
AIG,"American International Group",30.45,30.65,30.41,30.09,30.01,30.29,28.7,31.23,25.57,5481471,5425900,5270300,6372877
AIV,"Apartment Investment and Management",33.42,33.72,34.57,33.05,35.1,34.39,34.94,37.2,32.85,974512,882400,710960,1294604
AIZ,"Assurant Inc",122.8,122.6,123.4,121.79,123.45,123.47,122.22,127.47,116.4,184136,221800,260900,351755
AJG,"Arthur J. Gallagher & Company",108.04,107.52,109.05,107.06,108.45,108.77,106.17,110.56,101.36,576722,769200,700500,778668
AKAM,"Akamai Technologies",110.09,109.3,111.49,109.41,109.62,110.71,110.82,115.84,107.4,1003900,1417300,1585580,1215973
ALB,"Albemarle Corp",93.49,93.56,93.34,92.57,95.13,93.42,91.47,99.13,79.06,740570,641400,806300,1325405
ALGN,"Align Technology",330.14,334.6,339,326.84,338.89,336.52,324.35,343.21,297.44,565100,660500,589260,564995
ALK,"Alaska Air Group",40.33,39.93,39.61,39.58,38.18,39.35,37.72,40.86,34.83,1678123,2153400,2060800,2320995
ALL,"Allstate Corp",92.25,91.08,92.12,91.42,91.82,92.58,92.34,95.15,88.78,1621529,1326800,2159080,1974305
ALLE,"Allegion Plc",105.08,105.3,105.15,103.93,105.23,104.99,101.18,108.09,94.01,576782,569500,472540,727550
ALXN,"Alexion Pharm Inc",122.05,124,124.31,121.76,120.97,124.13,118.15,128.57,109.51,1645900,1623000,2175660,2423418
AMAT,"Applied Materials",62.67,62.26,63.17,62.05,63.76,63,60.82,65.42,54.15,4479600,5757500,5859880,6811291
AMCR,"Amcor Plc",11.28,11.19,11.52,11.28,11.52,11.5,11.12,11.59,10.44,5222878,3816500,3938200,5781491
AMD,"Adv Micro Devices",82.16,81.56,83.62,82,83.54,83.17,82.03,88.72,73.88,38178801,36689102,36097039,49089879
AME,"Amtek Inc",108.23,108.7,109.95,107.55,109.46,109.85,103.02,110.82,94.9,543541,692000,830220,895518
AMGN,"Amgen Inc",231.06,231.1,236.21,230.71,235.35,235.72,243.63,258.51,229.36,1936300,2749800,2394260,2636250
AMT,"American Tower Corp",241.68,243.8,243.66,239.6,239.7,242.72,241.33,247.78,234.97,1407356,1323600,1610200,2141905
AMZN,"Amazon.com Inc",3222.28,3217.01,3299.61,3207.21,3363.23,3272.71,3194.37,3496.24,2871,4492000,5223600,5448440,5212568
ANET,"Arista Networks Inc",223.32,221.98,226.95,221.63,226.44,225.45,212.65,233.28,192.96,479577,450200,485160,620032
ANSS,"Ansys Inc",337.9,331.96,348.7,336.25,353.55,349.72,328.5,357.92,298.35,678300,565500,480540,439732
ANTM,"Anthem Inc",293.18,291.19,296,292.21,295.1,296.87,277.2,300.92,244.1,822684,946800,867520,1114473
AON,"AON Plc",210.66,206.36,212.5,209.19,213.36,212.88,206.03,216.49,192.19,1383457,856600,1236160,1365623
AOS,"Smith [A.O.] Corp",55.41,55.13,55.4,54.96,56.18,55.37,54.26,58.05,51.33,585476,835100,894760,1252368
APA,"Apache Corp",9.22,9.61,9.45,9.06,9.64,9.37,9.94,12.52,8.75,13193400,10772199,13378979,12451096
APD,"Air Products and Chemicals",295.51,294.49,299.96,294.16,297.69,298.14,295.86,306.82,284.23,535503,922800,977300,899136
APH,"Amphenol Corp",114.62,114.6,115.13,113.1,115,115.16,110.25,116.18,101.69,1379541,1561700,1667740,1420991
APTV,"Aptiv Plc",100.12,100.19,98.73,99.4,98.54,98.2,93.52,102.18,82.12,1634742,1968800,1578920,1624286
ARE,"Alexandria Real Estate Equities",159.62,160.02,162.69,158.54,162.01,162.06,161.8,168.09,154.18,540394,1148100,670880,811064
ASML,"Asml Hld NY Reg",386.82,384.96,392.19,385.31,390.76,386.9,377.98,409.11,351.09,357100,392700,617140,718241
ATO,"Atmos Energy Corp",94.41,94.28,94.76,94.24,94.37,94.49,95.06,97.87,90.49,658059,557100,757640,887427
