Symbol,Name,Last,"Prev High","Prev Low","1M High","1M Low",Volume,"Prev Vol","1M Avg Vol","Earnings ttm","Book Value","Div Yield"
PEG,"Public Service Enterprise Group Inc",54.91,55.35,54.35,55.4,50.32,2886800,1802400,2208123,3.44,30.63,3.58%
PEP,"Pepsico Inc",138.6,139.54,137.13,144.04,129.36,6749600,4333800,4904318,5.4,9.07,2.98%
PFE,"Pfizer Inc",36.7,36.54,36.03,38.02,35.38,21462799,12837600,23302699,2.88,11.62,4.20%
PG,"Procter & Gamble Company",138.99,138.42,136.66,141.7,134.7,8727500,4493100,6112063,5.12,18.94,2.30%
PGR,"Progressive Corp",94.67,94.77,93.59,97.81,90.63,3073500,1744700,2215600,6.98,28.48,0.42%
PH,"Parker-Hannifin Corp",202.34,204.64,200.43,217.59,192.25,961000,403200,807514,10.77,47.8,1.74%
PHM,Pultegroup,46.29,46.36,45.06,47.18,42.18,4560200,1828000,2488509,4.04,21.82,1.06%
PKG,"Packaging Corp of America",109.05,111.46,108.35,114.32,100.32,676700,630300,779850,6.51,33.04,2.91%
PKI,Perkinelmer,125.51,124.66,121.89,126.1,111.5,1304400,1266800,765705,4.65,26.64,0.23%
PLD,"Prologis Inc",100.62,100.45,99,104.66,94.76,3645400,1826300,2534109,2.56,49.74,2.33%
PM,"Philip Morris International Inc",74.99,76.12,74.3,82.59,74.3,5410300,4060200,4320118,5.15,-6.5,6.46%
PNC,"PNC Bank",109.91,107.76,105.16,116.67,101.58,2488800,1625300,1876855,5.96,124.73,4.30%
PNR,"Pentair Ltd",45.77,46.05,45.46,47.13,43.19,892000,604400,1101132,2.3,11.75,1.66%
PNW,"Pinnacle West Capital Corp",74.55,74.65,73.38,75.2,69.29,1265900,658900,876032,5.32,49.84,4.26%
PPG,"PPG Industries",122.08,122.77,120.29,131.09,116.95,1477400,688500,1365405,5.16,20.93,1.80%
PPL,"PPL Corp",27.21,27.39,26.74,28.81,25.47,6601200,5496300,5387004,2.4,16.97,6.18%
PRGO,"Perrigo Company",45.91,46.11,45.27,52.86,44.33,749100,604900,824118,4.27,43.36,1.97%
PRU,"Prudential Financial Inc",63.52,64.25,62.38,71.19,60.16,3070400,2132300,2476191,9.72,168.37,6.97%
PSA,"Public Storage",222.72,222.9,218.47,226.6,208.19,863500,557300,780032,7,51.63,3.62%
PSX,"Phillips 66",51.84,53.82,51.76,61.92,51.05,2668400,2464600,3710786,4.93,53.34,6.90%
PVH,"Phillips-Van Heusen Corp",59.64,61.69,58.59,73.6,54.12,1708800,1134400,1562700,2.08,64.52,0.00%
PWR,"Quanta Services",52.86,53.32,52.45,54.12,48.53,1714000,924400,1161718,2.94,28.46,0.38%
PXD,"Pioneer Natural Resources Company",85.99,87.73,83.9,105.81,83.9,1692200,1402500,1570168,5.18,71.21,2.55%
PYPL,"Paypal Holdings",197.03,195.78,191.11,212.45,171.63,7894100,6766100,9079505,2.29,15.07,0.00%
