Symbol,Name,Open,Last,"Prev Open",Previous,"Open 2D Ago","Last 2D Ago","1M MA","1M High","1M Low",Volume,"Prev Vol","5D Avg Vol","1M Avg Vol"
CBRE,"CBRE Group Inc",46.86,46.73,47.52,47.05,48.03,47.9,47.99,51.58,44.59,1196600,1102800,1181120,1375986
CCI,"Crown Castle International Corp",162.64,156.25,162.92,163.79,164.67,164.46,164.61,169.31,154.61,3376900,1434300,2246160,1820095
CCL,"Carnival Corp",14.52,15.19,14.6,14.48,14.42,14.61,14.81,16.17,13.4,32463201,17538900,29028240,33498059
CDNS,"Cadence Design Sys",111.67,109.32,112.61,111.23,115.35,112.61,109.43,118.22,98.47,1589300,1445000,1623920,1436064
CDW,"CDW Corp",128.52,129.44,129.75,128.84,130.72,129.32,123.95,132.25,108.01,337700,468800,421040,694509
CE,"Celanese Corp",116.91,118.07,116.76,116.2,118.68,117.36,113.19,121.76,103.3,472200,594300,593620,660468
CERN,"Cerner Corp",72.68,72.59,72.68,72.56,72.59,72.7,71.93,75.24,66.75,802800,1416600,1121900,1250836
CF,"Cf Industries Holdings",27.36,27.92,27.86,27.25,29.16,28.06,30.04,32.62,26.88,2551900,3455100,2253300,1980609
CFG,"Citizens Financial Group Inc/Ri",27.64,28.86,27.41,27.55,27.11,27.62,26.72,28.98,23.46,4310700,5051300,5596100,4591104
CHD,"Church & Dwight Company",92.02,90.99,92.37,92.19,93.22,92.24,92.54,96.31,89.39,943800,1183900,1547360,1344764
CHKP,"Check Point Software",122.6,121,123.76,124.46,126.78,123.75,122.82,128.87,116.96,2191300,1214300,1322220,892314
CHRW,"C.H. Robinson Ww",100.62,99.58,100.44,100.77,100.67,100.51,102.84,106.75,99,1144600,1251800,1339960,1144650
CHTR,"Charter Communicatio",605.03,599.91,604.31,605.33,622.74,608.26,625.55,663.7,596.43,1001800,727100,929680,953032
CI,"Cigna Corp",174.98,179.33,170.91,174.56,172.64,171.09,171.27,179.95,158.84,1418600,1902700,1752080,1620923
CINF,"Cincinnati Financial",81,76.74,79.82,84.29,78.81,79.82,78.82,84.59,74.01,1821800,652700,805520,714223
CL,"Colgate-Palmolive Company",79.38,79.29,79.52,80.2,80.07,79.83,78.33,80.99,74.96,2516300,3591600,2977420,2859705
CLX,"Clorox Company",209.07,209.76,210.01,211.35,214.4,210.61,213.04,223.36,206.05,1272100,1121400,1121020,1107918
CMA,"Comerica Inc",42.55,45.12,43.16,42.41,42.75,43.21,40.62,45.24,35.76,1371000,1657800,1717140,1392191
CMCSA,"Comcast Corp A",44.5,45.11,44,44.52,44.63,44.27,45.43,47.07,43.97,15954200,13198900,14634580,16360195
CME,"CME Group Inc",164.98,163.48,163.16,164.59,163.9,163.12,166.96,172.4,161.65,1440500,2142100,1565980,1444505
CMG,"Chipotle Mexican Grill",1292.21,1300.29,1344.08,1366.66,1345,1348.47,1286.13,1366.66,1214,1297700,792200,607620,358505
CMI,"Cummins Inc",222.75,223.59,223.16,222.25,222.87,222.27,216.81,227.15,199.7,862400,835200,891080,900173
CMS,"Cms Energy Corp",65.37,65.75,65.01,65.18,65.03,65.01,63.13,65.96,58.63,1616400,1419000,1368720,1311646
CNC,"Centene Corp",66.02,66.94,65.37,65.98,65.92,65.56,61.97,67.31,53.6,1703600,2135300,1933580,3057945
CNP,"Centerpoint Energy Inc",21.55,22.07,21.25,21.53,20.92,21.34,20.38,22.14,18.6,3892700,5477700,4182980,4268477
COF,"Capital One Financial Corp",74.71,76.75,76.91,73.72,77.9,77.27,75.47,81.67,66.46,10442100,5700700,4859420,3048691
COG,"Cabot Oil & Gas Corp",19.22,20.17,19.3,19.18,19.15,19.27,18.54,20.33,16.41,7587000,5539100,4459560,4452614
COO,"Cooper Companies",349.28,353.18,348.45,348.79,351.28,347.46,345.41,364.05,326.75,112500,149000,144280,177523
COP,Conocophillips,30.62,31.91,32.17,30.64,32.91,32.58,33.6,36,30.47,15027801,19210100,16696000,9459945
COST,"Costco Wholesale",377.35,375.75,378.56,377.82,377.69,378.31,364.55,384.87,335.36,1812800,1466400,1792040,2587086
CPB,"Campbell Soup Company",47.69,47.91,47.38,47.75,48.91,47.67,48.28,49.88,44.95,1486200,1664900,1699240,1934777
CPRT,"Copart Inc",114.74,114.09,115.1,114.6,115.8,114.98,111.05,118.56,101.22,1000700,612100,797600,984023
CRM,"Salesforce.com Inc",253.89,249.67,256.45,254.23,256.12,255.97,253.53,270.16,233.63,3685200,2794000,3161800,4423459
CSCO,"Cisco Systems Inc",38.85,38.82,39.31,39.06,39.44,39.2,39.18,40.61,37.6,20381199,17016199,18971539,21634041
CSX,"CSX Corp",82.16,81.73,79.2,78.72,79.3,80.13,78.6,84.81,75.38,7151400,4684200,4607900,3897868
CTAS,"Cintas Corp",340.29,338.5,341.73,338.69,343.41,343.66,337.76,358.68,313.33,337300,447200,354620,439818
CTLT,"Catalent Inc",92.43,93.4,93.54,92.41,91.23,93.16,89.46,96.38,79.65,665100,751800,783160,891809
CTSH,"Cognizant Tech Sol",72.73,73.38,73.03,72.89,73.05,73.35,71.26,75.32,65.58,2705300,2916200,2639660,3115468
CTVA,"Corteva Inc",32.94,33.13,33.1,32.9,33.74,33.07,31.19,34.54,27.18,2646200,3451400,3662700,4322014
CTXS,"Citrix Systems Inc",135.39,126.65,136.68,136.36,136.14,136.72,136.8,146.94,125.75,4540400,1217000,1846180,1165755
CVS,"CVS Corp",59.14,59.48,58.62,59.23,59.04,59.43,58.67,60.8,56.11,5721700,5385300,6500800,6295000
CVX,"Chevron Corp",70.88,73.4,71.13,70.87,71.9,71.68,72.61,76.09,68.82,9807300,9800500,9004780,11356264
CXO,"Concho Resources Inc",44.26,46.04,46.82,44.28,47.57,47.11,45.14,50.89,40.82,5684400,5736900,6996660,3353750
D,"Dominion Resources",80.2,81.18,81.2,80.23,81.47,81.08,79.94,82.99,75.3,2142200,3423900,2930300,3205250
DAL,"Delta Air Lines Inc",31.87,33.72,31.89,31.5,31.97,31.98,31.46,33.81,27.92,25675000,11292199,15388720,17269500
DD,"Du Pont De.Nemours Inc",58.91,59.48,59.16,58.66,58.68,59.48,57.21,60.21,53.49,2977100,4202000,3507040,4160282
DE,"Deere & Company",236.06,236.88,239.52,236.4,239.8,238.87,229.61,243.4,211.38,1246300,1506400,1255960,1297291
DFS,"Discover Financial Services",65.36,66.16,62.87,60.6,64.29,63,61.14,67.12,51.74,6868200,4483900,3614340,2788064
DG,"Dollar General Corp",218.88,214.32,217.83,219.86,218.07,217.78,214.9,224.82,202.58,1345100,1758500,1464540,1455364
DGX,"Quest Diagnostics Inc",122.56,126.34,124.75,122.83,120.79,123.32,116.59,127.12,108.28,1843500,1650900,1490820,968627
DHI,"D.R. Horton",73.38,70.59,76.31,73.11,75.97,76.52,75.61,81.21,70.27,3949600,2818600,2840320,2734532
DHR,"Danaher Corp",226.78,233.98,228.76,226.55,224.01,227.03,219.4,235.6,201.44,2743100,3762100,2750460,2118755
DIS,"Walt Disney Company",126.67,127.56,124.36,126.63,124.58,124.95,124.75,131.36,120.61,5176600,6591500,6161220,8814364
DISCA,"Discovery Comm A",21.09,21.17,20.11,20.72,20.48,20.25,21.45,23.05,20,2905100,3812400,3002120,3171486
DISCK,"Discovery Comm Inc",18.86,19.08,18.25,18.84,18.52,18.32,19.32,20.74,18.12,2336000,2863600,2406080,2301950
DISH,"Dish Network Corp",26.91,26.95,26.87,26.83,26.84,27.06,28.07,30.43,26.27,1542900,4114000,2186820,2345077
DLR,"Digital Realty Trust",154.79,152.3,154.62,154.87,155.77,155.6,151.72,159.58,138.71,1223500,1025100,1062380,1263559
DLTR,"Dollar Tree Inc",94.7,93.84,95.7,94.84,95.7,95.41,92.38,97.68,86.57,1631900,1169600,1547500,1793609
DOCU,"Docusign Inc",220,214.8,228.39,218.12,229.56,227.8,222.64,246.8,199.33,3454300,2909700,2807300,4103354
DOV,"Dover Corp",114.41,115.24,113.95,113.73,113.08,114.24,111.28,116.68,105.4,528400,687800,719180,671764
DOW,"Dow Inc",49.81,48.82,49.38,48.55,49.35,49.34,48.02,50.33,45.13,5244500,4092500,3499900,3994614
DPZ,"Domino's Pizza Inc",390,391.74,393.67,389.95,394.57,394.41,410.33,435.58,386.64,442400,523300,472880,859755
DRE,"Duke Realty Corp",38.56,38.67,38.71,38.53,38.7,38.74,38.27,40.62,35.37,878000,1473100,1378840,1576814
DRI,"Darden Restaurants",97.79,99.82,97.94,97.69,97.32,98.34,99.87,105.7,88.94,875100,873300,1077340,2054900
DTE,"Dte Energy Company",120.99,123.03,121.03,121.46,119.64,121.34,117.21,123.25,110.67,690900,1067000,1224440,1160550
DUK,"Duke Energy Corp",92.59,93.89,91.96,92.51,92.11,92.06,89.76,93.92,80.41,4162100,2233300,2746760,3808723
DVA,"Davita Healthcare Partners Inc",90.1,90.68,89.62,89.61,89.87,89.7,86.83,91.7,80.85,510600,639700,738200,984305
DVN,"Devon Energy Corp",8.64,9.34,8.88,8.63,8.92,8.97,9.41,10.59,8.43,10615200,13997301,10548240,12108127
DXC,"Dxc Technology Company",19.9,19.94,19.99,19.84,20.06,20.01,18.84,21.01,15.64,1170100,1125300,1453200,2337936
DXCM,Dexcom,386.5,395.8,393.89,387.84,397.44,392.43,394.34,420,373.41,464400,764000,765000,759364
EA,"Electronic Arts Inc",127.78,126.92,127.98,127.65,130.42,127.36,129.51,134.05,123.97,1791700,2200900,1924220,2101718
EBAY,"Ebay Inc",52.59,52.29,54.29,52.82,54.42,54.2,53.27,58.34,49.49,5162600,6557400,6203160,7082723
ECL,"Ecolab Inc",203.28,204.87,202.29,203.21,202.18,203.01,200.11,206.8,192.42,689700,1039800,936200,1047482
ED,"Consolidated Edison Company of New York",80.57,81.44,80.37,80.33,80,80.6,79.7,83.13,72.55,1509400,1486900,1953100,1585559
EFX,"Equifax Inc",158.15,155.9,160.14,162.35,159.49,159.71,159.57,166.61,150.53,2601800,798700,1013960,608673
EIX,"Edison International",59.03,59.89,59.5,59.05,58.86,59.75,54.62,60.08,48.47,1463000,2203100,1923180,2098164
EL,"Estee Lauder Companies",232.08,232.62,226.7,232.65,223.95,225.72,221.03,234.76,205.38,858100,1220800,866880,862964
EMN,"Eastman Chemical Company",85.84,86.1,86.08,85.35,86.49,86.64,82.18,88.04,74.84,662200,487600,550920,745682
EMR,"Emerson Electric Company",69.57,69.76,69.39,69.21,70.39,70,67.67,71.2,63.16,1556700,2525600,2406540,2121627
EOG,"Eog Resources",35.08,36.93,36.29,35.12,36.48,36.28,36.75,40.15,33.63,7237300,6314500,7662000,5589827
EQIX,"Equinix Inc",806.12,777.55,802.78,803.16,810.78,804.94,790.6,839.77,729.39,419500,307500,327140,354050
EQR,"Equity Residential",50.61,50.75,50.51,50.51,51.23,50.91,52.86,56.41,50.01,3158900,2626200,2363260,2570700
ES,"Eversource Energy",92.33,92.92,92.01,92.08,91.6,92.24,88.5,93.8,78.16,1038400,856000,1184980,1330777
ESS,"Essex Property Trust",200.47,202.52,198.69,199.93,200.91,199.85,206.33,218.32,198.08,311600,496200,388160,411223
ETN,"Eaton Corp",108.74,109.88,108.31,108.28,108.6,108.74,105.24,111.19,98.05,1199700,985600,1196580,1380795
ETR,"Entergy Corp",107.01,108.04,105.72,106.86,105.92,106.22,103.15,108.34,93.64,983200,1186500,1114160,1211600
ETSY,"Etsy Inc",133.9,135.94,144.62,133.01,147.54,144.79,135.91,154.88,109.52,3325200,5555000,3104580,3309491
EVRG,"Evergy Inc",55.75,56.58,55.26,55.89,54.92,55.52,52.64,56.71,48.61,1779100,2603600,1903160,1703091
EW,"Edwards Lifesciences Corp",79.74,79.38,84.44,83.61,84.49,84.43,81.08,86.98,74.07,6110000,2149700,2667860,2370773
EXC,"Exelon Corp",42.08,42.23,42.29,42.14,42.21,42.4,38.54,42.77,33.97,4844800,4990400,6142380,6063927
EXPD,"Expeditors Intl",94.16,94.27,93.86,93.78,93.31,93.73,91.71,95.29,87.75,736100,863800,950320,865577
EXPE,"Expedia Group Inc",93.05,101.04,92.56,92.7,92.92,92.96,93.32,102.11,87.9,4711300,1062700,2431800,2080854
EXR,"Extra Space Storage Inc",115.08,117.46,114.67,115.35,114.58,114.37,111.5,117.65,102.74,930700,1171000,1016420,1143209
F,"Ford Motor Company",7.93,8.21,7.77,7.85,7.62,7.74,7.22,8.22,6.41,73249805,51981000,55029582,57232738
FANG,"Diamondback Energy",27.77,29.17,28.21,27.71,28.39,28.45,29.95,32.43,27.51,3399900,3019900,3232600,2871950
FAST,"Fastenal Company",44.05,44.09,45.07,43.94,44.91,45.04,45.18,48.77,43.5,2586900,3432800,3178960,3420064
FB,"Facebook Inc",279.87,278.12,279.56,278.73,263.06,267.56,264.19,283.05,245.62,16693600,28998600,18933000,18790832
FBHS,"Fortune Brands Home & Security",86.53,85.27,87.46,85.91,87.62,87.63,86.99,90.94,81.27,684500,878200,736240,817814
FCX,"Freeport-Mcmoran Inc",17.55,18.35,17.74,17.72,17.4,17.61,16.48,18.4,14.67,21252600,21426699,17056061,18698209
FDX,"Fedex Corp",283.58,275.95,289.16,282.28,284,287.4,265.91,293.3,239.5,2962400,3219200,3311260,2754009
FE,"Firstenergy Corp",32.37,33.03,31.66,32.33,32.25,31.83,30.36,33.27,27.3,6097800,8604899,6262100,4769236
FFIV,"F5 Networks Inc",127.47,127.33,129.6,127.43,133.52,129.27,126.05,134.18,117.65,805100,831100,721240,641909
FIS,"Fidelity National Information Services",141.36,142.72,140.46,141.41,140.08,140.7,145.07,150.31,138.46,1745600,1897500,2564500,2618055
FISV,"Fiserv Inc",99.5,100.88,98.89,99.36,99.11,99.53,102.1,107.2,96.77,3174200,3908100,3331620,3832845
FITB,"Fifth Third Bncp",24.13,23.97,23.64,23.5,23.5,23.75,22.37,24.27,19.32,6583300,5598000,5389580,5570332
FLIR,"Flir Systems Inc",35.86,36.84,36.11,35.67,37.29,36.25,36.33,38.21,34.15,850600,793700,1011080,978368
FLS,"Flowserve Corp",29.25,30.55,29.08,29.21,29.13,29.07,28.27,30.6,25.87,824200,566800,731280,812173
FLT,"Fleetcor Technologies",249.29,256.84,242.49,248.28,243.46,242.83,242.88,257.8,229.44,741400,594300,554800,578064
FMC,"FMC Corp",107.32,107.49,107.57,106.74,108.29,107.16,106.46,111.08,101.42,537500,401000,479420,625545
FOX,"Fox Corp Cl B",26.74,27.41,26.09,26.75,26.54,26.18,27.67,30.04,25.61,1827900,803300,1127460,1083936
FOXA,"Fox Corp Cl A",26.84,27.46,25.9,26.57,26.4,26.05,27.53,30,25.57,3572000,2572400,3343300,3701286
FRC,"First Republic Bank",128.39,130.62,127.66,128.04,126.91,127.66,118.12,130.79,100.38,726000,989400,846320,834436
FRT,"Federal Realty Investment Trust",73.94,75.29,73.77,73.77,74.16,74.16,75.64,80.34,70.68,491100,478600,504780,486855
FTI,"Technipfmc Plc",7.31,6.86,7.22,7.21,7.22,7.28,6.7,7.4,5.96,12286400,5863400,7360240,6079650
FTNT,"Fortinet Inc",130.33,128.16,132.31,129.98,132.99,132.52,123.4,134.94,113.5,701900,1313300,1051760,1152086
FTV,"Fortive Corp",66.28,66.52,66.16,65.82,66.3,65.89,72.25,82.12,65.53,2255100,2056400,2009960,2994623
GD,"General Dynamics Corp",136.58,139.42,137.84,136.61,140.25,138.46,140.63,146.97,133.6,1282400,1007100,1466540,1238495
GE,"General Electric Company",7.33,7.72,7.28,7.32,7.35,7.34,6.64,7.75,6,95517500,73811102,113546578,99680961
GILD,"Gilead Sciences Inc",59.92,60.67,60.24,60.21,60.59,60.55,62.61,64.99,59.65,14877800,7493700,10706020,8740082
GIS,"General Mills",60.77,61.31,60.73,60.97,61.6,61.12,61.29,63.29,57.48,1836500,1551600,2161040,3361709
GL,"Globe Life Inc",84.08,86.48,83.46,84.13,83.25,83.45,81.45,86.99,75.39,814900,591100,531640,437695
GLW,"Corning Inc",35,35.47,34.87,35,34.9,34.84,33.66,35.83,30.16,2377200,3727500,2960800,3866191
GM,"General Motors Company",35.9,37.41,36.1,35.77,33.96,35.6,31.7,37.43,28.24,23175301,23277801,21519461,12903896
GOOG,"Alphabet Cl C",1593.05,1615.33,1573.33,1593.31,1527.05,1555.93,1508.25,1621.99,1407.7,1433200,2568300,1857220,1625095
GOOGL,"Alphabet Cl A",1585,1606.66,1569.85,1585.99,1523.11,1551.08,1503.81,1615.14,1402.15,1525200,3016000,1964800,1746345
GPC,"Genuine Parts Company",100.49,96.78,102.4,102.02,101.33,101.85,98.09,103.59,92.82,1412100,952300,996920,781073
GPN,"Global Payments Inc",174.55,175.92,174,174,172.82,174.3,177.12,184.93,170.5,1197700,1136200,1243620,1301055
