Symbol,Name,Open,Last,"Prev Open",Previous,"Open 2D Ago","Last 2D Ago","1M MA","1M High","1M Low",Volume,"Prev Vol","5D Avg Vol","1M Avg Vol"
A,"Agilent Technologies",105.32,106.77,105.92,104.83,105.89,105.61,102.82,107.62,95.44,1064600,893900,880920,946495
AAL,"American Airlines Gp",12.6,13.15,12.69,12.74,12.75,12.8,12.61,13.68,11.22,90420398,37503500,51590098,57357434
AAP,"Advance Auto Parts Inc",153.84,152.93,155.99,154.38,154.68,153.02,154.03,160.77,142.46,621800,884400,640280,690536
AAPL,"Apple Inc",117.45,115.75,116.67,116.87,116.2,117.51,115.98,125.39,105,101578008,89945906,110396141,135291719
ABBV,"Abbvie Inc",83.02,84.31,83.58,82.89,84.19,84.25,86.35,89.27,82.56,8080000,9776800,8088080,7289118
ABC,"Amerisourcebergen Corp",97.9,98.72,97.75,97.73,98.17,97.99,96.98,100.71,92,619300,829400,780500,808232
ABMD,"Abiomed Inc",273.05,278.5,277.78,272.6,283.35,277.53,272.69,291.33,255.4,292200,245300,233900,292382
ABT,"Abbott Laboratories",106.42,109.48,108.01,105.93,108.35,108.36,107.15,111.57,100.34,4953400,5716000,4627020,4900859
ACN,"Accenture Plc",233.1,228.14,229.9,233.1,226.7,230.39,225.81,239.35,210.42,1661200,1701700,1769500,2075768
ADBE,"Adobe Systems Inc",496.72,483.6,492.05,495.96,495.25,494.58,491.86,519.6,460.27,2613400,1369700,1962040,2293773
ADI,"Analog Devices",124.56,124.75,124.08,124.76,122.96,123.62,119.67,126.49,110.66,2070200,3992700,2717020,2934136
ADM,"Archer Daniels Midland",50.88,51.68,50.77,50.81,50.83,50.87,48.25,51.78,44.58,2309400,2710900,2856680,2648582
ADP,"Automatic Data Procs",147.06,148.85,146.92,146.85,146.43,146.62,142.75,152.15,127.31,1494400,1174500,1441860,2039827
ADSK,"Autodesk Inc",254.52,252.76,257.39,254.01,261.41,257.34,238.95,268.44,215.83,1033200,872800,1648360,1408368
AEE,"Ameren Corp",82.17,83.03,82.27,82.29,82.19,82.14,80.49,83.4,75.28,535400,868000,813740,923836
AEP,"American Electric Power Company",90.17,92.2,90.41,90.4,91.9,90.68,86.82,92.7,78.58,3507900,2604400,2791100,2735905
AES,"The Aes Corp",20.2,20.41,19.97,20.21,20.17,20,18.99,20.45,17.42,4140900,5450700,5224800,5240327
AFL,"Aflac Inc",36.67,37.51,36.74,36.65,36.93,36.91,36.94,38.72,34.92,2311800,2760300,2826100,2928977
AIG,"American International Group",31.54,32.01,30.58,31.67,30.45,30.65,29.13,32.15,25.57,5410600,6869500,5616280,5934373
AIV,"Apartment Investment and Management",34.04,34.07,33.5,33.99,33.42,33.72,34.94,37.2,32.91,1506500,3019500,1392720,1232941
AIZ,"Assurant Inc",122.42,124.59,122.34,122.94,122.8,122.6,122.52,127.47,116.4,236300,298200,246360,322077
AJG,"Arthur J. Gallagher & Company",107.38,107.76,107.67,107.62,108.04,107.52,106.49,110.56,101.36,418800,518300,571600,695177
AKAM,"Akamai Technologies",109.01,108,109.76,109.02,110.09,109.3,110.55,115.84,106.11,1487900,1134500,1314180,1211273
ALB,"Albemarle Corp",95.58,94.96,95.27,95.87,93.49,93.56,91.49,99.13,79.06,667600,793400,699780,1298050
ALGN,"Align Technology",424.32,453.23,334.2,335.81,330.14,334.6,330.9,459,297.44,5114300,892600,1556320,786450
ALK,"Alaska Air Group",39.15,40.59,39.69,39.69,40.33,39.93,37.94,41.32,34.83,2663200,1722400,2134960,2306050
ALL,"Allstate Corp",90.85,91.69,90.92,90.76,92.25,91.08,92.25,95.15,88.78,1479900,2483800,2086580,1940646
ALLE,"Allegion Plc",105,101.97,105.16,103.9,105.08,105.3,101.63,108.09,94.01,1536900,1155300,844960,766718
ALXN,"Alexion Pharm Inc",118.37,119.67,123.72,118.19,122.05,124,118.68,128.57,109.93,1333000,2055100,2181620,2345550
AMAT,"Applied Materials",61.73,61.7,62.4,62.11,62.67,62.26,61.21,65.42,56.65,6013100,6188800,5856040,6633045
AMCR,"Amcor Plc",10.99,11.04,11.19,11.08,11.28,11.19,11.12,11.59,10.44,3619600,4102800,4205160,5531250
AMD,"Adv Micro Devices",79.65,79.42,81.72,79.2,82.16,81.56,82.17,88.72,73.9,37440598,36426398,36049938,47114922
AME,"Amtek Inc",107.58,107.01,108.64,107.15,108.23,108.7,103.96,110.82,94.9,1198400,1087900,999520,919527
AMGN,"Amgen Inc",228.1,227.98,229.46,228.97,231.06,231.1,242.1,258.51,226.16,2172700,1978600,2182340,2602054
AMT,"American Tower Corp",241.33,235.77,243.36,241.74,241.68,243.8,241.09,247.78,234.97,1836600,1100500,1429580,2068518
AMZN,"Amazon.com Inc",3189.87,3176.4,3212.5,3184.94,3222.28,3217.01,3206.72,3496.24,2965,4196500,4592700,4999340,5018937
ANET,"Arista Networks Inc",214.82,213.97,218.19,214.31,223.32,221.98,214.16,233.28,196.32,533400,885000,554400,612218
ANSS,"Ansys Inc",327.38,326.78,332.01,327.86,337.9,331.96,329.86,357.92,298.76,370200,390700,509140,430050
ANTM,"Anthem Inc",297.02,305.17,290.5,296.16,293.18,291.19,281.57,306.3,244.1,1176600,898300,922640,1047636
AON,"AON Plc",206.51,207.47,206.44,206.44,210.66,206.36,206.7,216.49,192.19,767300,863600,1115380,1273332
AOS,"Smith [A.O.] Corp",55.04,54.91,55.29,54.81,55.41,55.13,54.5,58.05,51.74,1118800,1682400,1075360,1269600
APA,"Apache Corp",9.1,9.44,9.41,9.1,9.22,9.61,9.67,12.45,8.75,26445701,11784100,14449600,13572209
APD,"Air Products and Chemicals",292.54,292.25,294.04,293.26,295.51,294.49,295.92,306.82,284.23,547400,429700,766800,878364
APH,"Amphenol Corp",115.12,118.51,114.86,114.94,114.62,114.6,111.41,119.35,102.42,1647300,2168200,1945860,1448364
APTV,"Aptiv Plc",100.19,100.15,100.91,99.41,100.12,100.19,94.9,102.18,82.12,2352600,1858600,1854860,1656164
ARE,"Alexandria Real Estate Equities",159.8,160.16,160,160.08,159.62,160.02,162.04,168.09,155.6,488700,619900,698660,782686
ASML,"Asml Hld NY Reg",381.1,375.5,385.65,383,386.82,384.96,379.4,409.11,351.09,613800,359300,463500,688409
ATO,"Atmos Energy Corp",95.56,96.64,94.28,95.54,94.41,94.28,95.34,97.87,92.51,808400,1079400,805220,875582
ATVI,"Activision Blizzard",82.21,80.77,80.99,81.94,80.5,80.14,80.32,83.54,77.35,4339600,5305000,4431520,5322859
AVB,"Avalonbay Communities",146.32,146.48,145.09,145.97,146.82,145.55,152.33,162.33,144.27,521600,948000,1018680,1045432
AVGO,"Broadcom Ltd",371.08,373.37,375.77,372.05,377.01,376.99,369.55,387.8,348.28,1354500,1189600,1276720,1602755
AVY,"Avery Dennison Corp",138.59,140.87,134.49,142.56,135.41,134.34,128.85,145.45,115.77,736200,1400800,765200,622441
AWK,"American Water Works",153.05,153.61,153.42,152.25,155.29,153.15,150.88,160,138.04,455500,818300,858880,773068
AXP,"American Express Company",101.7,104.79,103.17,101.43,102.94,103.14,102.09,107.21,93.71,3709200,2588300,2968700,3539123
AZO,Autozone,1176.47,1175.55,1179.77,1178.12,1177.59,1178.62,1161.73,1206.44,1108.62,151400,149800,180640,203045
BA,"Boeing Company",164.7,169.07,166.44,163.86,168.29,167.24,163.93,175.56,145.02,14183000,11450600,17250740,22807469
BAC,"Bank of America Corp",24.05,24.87,24.22,24.05,23.89,24.14,24.28,25.83,22.95,55121301,41564898,53779641,55957129
BAX,"Baxter International Inc",81.87,81.45,81.32,81.74,81.51,81.14,80.09,82.61,77.72,1925700,2788100,2462600,2535900
BBY,"Best Buy Company",118.98,117.46,121.45,118.69,121.29,120.89,114.58,123.67,104.11,1977300,1772100,1918100,1987445
BDX,"Becton Dickinson and Company",235.62,241.09,238.22,236.4,237.92,236.26,233.28,241.42,219.5,1096000,1174400,1055500,1173364
BF.B,"Brown Forman Inc Cl B",75.06,75.18,74.28,74.74,74.9,74.47,76.07,79.32,73.66,709000,713400,745280,814009
BIDU,"Baidu Inc",134.51,132.86,132.63,134.84,130.01,130.08,127.46,138.98,120.79,2297800,3687000,2584060,3095205
BIIB,"Biogen Inc",268.75,266.8,264.99,268.91,270.45,267.12,279.8,293.34,260.3,1280200,1848800,1267240,999986
BIO,"Bio-Rad Laboratories",560,579.04,565.28,559.43,553.96,562.58,539.49,584.38,490.73,130400,155400,135300,131327
BK,"Bank of New York Mellon Corp",36.81,37.56,36.93,36.91,37.38,37.1,35.83,38.75,32.65,3810500,4221400,4522360,5109164
BKNG,"Booking Holdings Inc",1714.19,1792.02,1660,1702.03,1673,1671.71,1718.82,1866,1601.01,475000,284500,357240,320200
BKR,"Baker Hughes A Ge CO Cl A",14.17,14.46,13.4,14.04,13.34,13.63,13.25,14.52,12.13,7498100,10954400,8727200,6668273
BLL,"Ball Corp",92.11,91.13,91.81,92.78,91.94,91.39,86.75,93.49,78.58,2006500,1297500,1377500,1447468
BMRN,"Biomarin Pharmaceuticals",77.56,79.17,77.59,77.5,77.68,77.91,77.7,80.51,73.8,1493500,1145800,1384360,1451859
BMY,"Bristol-Myers Squibb Company",59.98,60.76,60.39,60.03,61.09,60.64,60.17,62.42,57.61,7034300,8004800,8411780,10218332
BR,"Broadridge Financial Solutions Llc",144,144.78,143.84,144.51,142.3,143.49,137.6,145.23,126.77,281400,374700,349040,432609
BRK.B,"Berkshire Hathaway Cl B",209.63,211.61,208.97,210.18,209.63,210.06,211.8,217.43,206.58,2949600,3196300,3415860,4063050
BSX,"Boston Scientific Corp",37.19,36.86,37.51,37.15,37.98,37.54,38.8,42.13,36.74,15047900,11643900,12917761,8765973
BWA,"Borgwarner Inc",39.19,40.19,39.31,39.62,39.44,39.29,39.06,42.24,36.34,4009700,3405100,3184920,3579196
BXP,"Boston Properties",76.08,77.22,75.68,76.05,77.2,76.14,80.53,86.34,74.9,622200,868600,901540,1064409
C,"Citigroup Inc",42.89,43.95,43.46,43.01,43.37,43.52,43.57,46.12,41.29,21279400,19816299,22230420,25866473
CAG,"Conagra Brands Inc",37.11,37.65,37.09,37.09,37.72,37.12,36.71,38.42,33.65,2741600,2500600,2528000,2733568
CAH,"Cardinal Health",47.9,48.77,47.47,47.83,48.23,47.71,47.47,49.35,44.65,1396500,1294400,1489060,1876845
CAR,"Avis Budget Group",37.81,38.12,36.07,37.39,33.5,36.24,30.34,38.67,25.54,2051400,2751000,2919080,2185032
CARR,"Carrier Global Corp [Carr/I]",33.15,33.89,33.06,33.35,32.45,33.23,31.79,34.13,28.79,3987600,2910100,4018920,3792418
CAT,"Caterpillar Inc",167.98,169.66,169.81,167.4,168.2,168.99,156.7,171.26,142.73,2356700,2502000,3239220,2887532
CB,"Chubb Ltd",127.53,127.63,119.27,128.22,118.47,119.3,118.67,128.58,111.93,2173900,3800300,2264300,1742509
CBOE,"CBOE Global Markets Inc",80.44,80.74,81.28,80.1,82.02,81.73,85.6,91.65,79.9,1279900,1045100,1164940,929659
