Symbol,Name,Open,Last,"Prev Open",Previous,"Open 2D Ago","Last 2D Ago","1M MA","1M High","1M Low",Volume,"Prev Vol","5D Avg Vol","1M Avg Vol"
WAB,"Wabtec Corp",63.76,63.33,63.28,63.51,64.16,64.26,63.37,69.56,59.28,554338,955100,1024280,1090223
WAT,"Waters Corp",215.04,211.1,210.06,213.7,215.44,212.19,199.46,218.2,187.31,320739,283100,461440,359541
WBA,"Walgreens Boots Alliance",37.48,37.41,36.35,37.64,36.32,35.91,36.21,38.22,34.52,8563101,16171801,9964900,7012846
WDAY,"Workday Inc",227.15,229.45,224.13,226.67,236.6,230.54,218.65,236.84,195.81,1136900,1904800,1484800,1690441
WDC,"Western Digital Cp",38.09,37.94,37.16,38,38.1,37.73,37.58,41.12,35.29,17427801,3676300,6819820,6349791
WEC,"Wisconsin Energy Corp",100.11,101.56,99.13,99.96,99.17,99.59,97.45,101.88,92.76,1253554,975300,944200,1119291
WELL,"Welltower Inc",54.02,54.28,53.34,55.05,54.31,53.87,55.26,59.89,51.22,2602052,2291900,2092100,2968405
WFC,"Wells Fargo & Company",23.01,22.86,23.06,22.95,24.27,23.25,24.06,25.74,22.56,43141248,60328500,46952500,43064238
WHR,"Whirlpool Corp",204.1,201.57,200.25,202,202.09,203.43,188.43,206.11,169.99,737583,687000,683240,751655
WLTW,"Willis Towers WT",217.27,216.76,209.99,216.62,213.02,212.53,208.63,219.3,194.71,466000,647800,894620,916618
WM,"Waste Management",115.58,115.87,114.32,115.27,115.19,114.58,114.26,117.6,110.25,1910147,884000,1329260,1470850
WMB,"Williams Companies",19.76,19.27,19.25,19.71,19.43,19.68,19.85,21.34,18.31,8206413,10619600,9141460,10708546
WMT,"Wal-Mart Stores",145.4,144.71,143.09,144.53,146.4,143.94,140.29,146.6,134.75,5647341,4568400,6171460,8690668
WRB,"W.R. Berkley Corp",62.17,62.05,61.08,62.06,62.25,61.71,61.76,64.56,58.84,643621,669600,510480,628923
WRK,"Westrock Company",40.39,40.98,37.55,39.64,38.43,38.1,36.34,41.76,32.01,5004600,3268700,3165580,3527627
WST,"West Pharmaceutical Services",293.56,292.06,286.04,291.37,299.03,288.15,282.34,303.14,261.05,298629,341400,367120,520186
WU,"Western Union Company",22.19,22.07,21.53,22.16,21.71,21.86,21.89,22.98,21.05,2710345,2897000,2962040,3310218
WY,"Weyerhaeuser Company",29.85,29.53,28.93,29.79,29.39,29.26,28.65,30.54,26.51,2871865,3238200,2719300,3793800
WYNN,"Wynn Resorts Ltd",72.53,71.12,71.45,72.7,71.49,71.7,73.19,80.57,68.79,3010200,2574600,3240060,3659164
XEL,"XCEL Energy Inc",72.27,73.13,71.84,72.2,73.35,72.35,70.16,74.41,65.69,2702000,2039700,2269540,2222959
XLNX,"Xilinx Inc",118.5,118.02,115.97,118.23,117.36,117.75,106.85,123.78,96.71,3518100,2532600,3162220,2909677
XOM,"Exxon Mobil Corp",34.37,34.1,33.69,34.45,34.06,34.15,34.66,37.98,32.21,22636950,23251500,20510520,26881936
XRAY,"Dentsply Sirona Inc",45.57,45.68,45,45.4,45.02,45.6,44.65,48.11,41.52,829900,657300,659360,944673
XRX,"Xerox Corp",20.1,20.08,19.76,20.12,20.05,20.01,19.17,20.62,17.35,2051761,1480800,1752580,2531577
XYL,"Xylem Inc",91.12,91.52,89.93,90.97,90.34,90.82,86.44,93.14,80.95,1506271,532100,871780,883445
YUM,"Yum! Brands",99.67,98.53,95.93,99.49,96.23,96.52,93.48,100.75,88.08,2282029,2427900,1570300,1570041
ZBH,"Zimmer Biomet Holdings",148.27,146.93,143.31,147.54,146,145.72,140.42,150.09,129.15,770258,991000,958980,965282
ZBRA,"Zebra Technologies",289.96,293,280.38,287.31,288.65,284.77,267.18,295.37,246.83,218700,204200,254720,317282
ZION,"Zions Bancorp",31.1,31.14,29.83,31.17,30.66,30.23,30.26,32.5,27.55,1831200,1852700,1427260,1565209
ZM,"Zoom Video Communications Cl A",544,559,509.08,536.4,518.78,509.25,486.07,565.45,387,13745700,16520600,10902939,12304923
ZTS,"Zoetis Inc Cl A",163.98,163.55,162.05,162.99,166.54,163.66,162.56,168.96,156.53,1631047,1363800,1482460,1658741
"Downloaded from Barchart.com as of 10-18-2020 11:45am CDT"
